,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
117,0.34212247,0.20993726,0.035231642,0.4282791,0.05008408,0.29868346,0.2295458,0.31665066,0.12417853,0.15519422,0.087294035,0.16198269,0.14722914,0.16600686,0.11370802,0.16729116,0.2745153,0.10228516,0.56838286,0.08098966,0.103620276,0.09746252,0.5473525,0.089036934,0.15559223,0.110793665,0.11620821,0.18077542,0.16285802,0.2492178,0.1563022,0.20795953
118,0.2121779,0.2187522,0.02130884,0.28988707,0.050969325,0.31191254,0.13262385,0.32973874,0.12993068,0.15895483,0.08855064,0.18473366,0.17740981,0.17513485,0.09238381,0.16882983,0.18379611,0.10463746,0.30525383,0.079193465,0.13475949,0.09870951,0.28269598,0.09251492,0.13147251,0.1158119,0.11552273,0.17522012,0.16194516,0.2344454,0.16797745,0.20421453
119,0.19878241,0.22634189,0.03674913,0.5389752,0.05186169,0.300674,0.10044641,0.3071693,0.11171579,0.16407835,0.08687867,0.16685414,0.16915877,0.18263668,0.0778625,0.17078616,0.15524323,0.105299644,0.31158412,0.08063028,0.110377215,0.09814406,0.24595775,0.08863071,0.1361675,0.10791857,0.11093869,0.19104415,0.1383639,0.2597875,0.14392465,0.18468468
120,0.23271377,0.2358524,0.021218175,0.27313042,0.043535806,0.2999226,0.10415356,0.33669692,0.12739411,0.16184281,0.08565465,0.17830254,0.11977996,0.1709931,0.12521389,0.16757843,0.14988032,0.11015356,0.22829308,0.08313004,0.08731286,0.09910148,0.19578832,0.09112289,0.1363149,0.13031204,0.11118396,0.17030084,0.16979524,0.26344982,0.3571264,0.17442901
121,0.2331362,0.22391175,0.0414089,0.41389307,0.05540426,0.32241145,0.077223465,0.30612063,0.1083479,0.15298153,0.098350935,0.15894218,0.122190565,0.1658961,0.077503175,0.17076173,0.13839476,0.12621129,0.1989478,0.080947645,0.107859634,0.097732805,0.18158446,0.08860568,0.15132612,0.12604947,0.09191976,0.18454365,0.12444863,0.25001281,0.2701496,0.23204859
122,0.12817107,0.2340182,0.1612629,0.305778,0.06612418,0.2964656,0.13803262,0.31581146,0.09318989,0.15624091,0.13090059,0.18027669,0.12121042,0.18791208,0.07330725,0.16480017,0.15345865,0.11090407,0.25921786,0.08120536,0.456317,0.092234164,0.17293191,0.09063537,0.13846062,0.119486995,0.114648834,0.18116757,0.14464782,0.2250867,0.26786292,0.1892746
123,0.16316745,0.28343526,0.09210609,0.28533915,0.049187765,0.32342207,0.15709466,0.31355533,0.10207625,0.1660263,0.08341957,0.16590409,0.12539019,0.16774218,0.108306445,0.17107005,0.12989892,0.107361645,0.16649827,0.08064848,0.29787323,0.08705316,0.15790278,0.08939811,0.20824832,0.11494909,0.08006567,0.19464155,0.13506106,0.2382438,0.27319458,0.18066858
124,0.11440126,0.24033809,0.052613184,0.365793,0.047266547,0.29619965,0.0747262,0.32099736,0.09469707,0.16789278,0.078540176,0.17641973,0.10387091,0.19157425,0.06523516,0.16878287,0.11628163,0.12246725,0.21754616,0.08359031,0.2242465,0.09162656,0.16850598,0.088911146,0.10789445,0.12709284,0.109984264,0.15702184,0.13057108,0.24137893,0.16100173,0.18714717
125,0.1425591,0.22127813,0.045178656,0.30302304,0.10571229,0.31589356,0.093497686,0.34698492,0.64360195,0.13875704,0.07072154,0.17197669,0.1141532,0.16942264,0.07153175,0.16637984,0.10320754,0.09915327,0.20179437,0.08129359,0.22749145,0.09124926,0.31080455,0.09098466,0.09826633,0.11432485,0.13763626,0.17365393,0.12785877,0.24518625,0.21472384,0.18167445
126,0.08214282,0.23607922,0.05260992,0.28701866,0.11306284,0.3223915,0.09882797,0.31098193,0.36178026,0.14650701,0.10563028,0.17468049,0.10800095,0.17357503,0.3872711,0.16716082,0.12987721,0.111534365,0.16822267,0.083489105,0.20546526,0.09008663,0.23875612,0.09123101,0.11040096,0.11755284,0.50751823,0.16098347,0.13308,0.23568918,0.16771524,0.18736959
127,0.08823797,0.25601515,0.041117825,0.41157356,0.07232038,0.3139839,0.07632256,0.36231375,0.2575445,0.18339959,0.050331693,0.16530743,0.3676202,0.16627339,0.2540143,0.16050808,0.12471485,0.10673937,0.12367061,0.08260051,0.16227631,0.09075457,0.15888217,0.09301661,0.0933148,0.12529565,0.26743206,0.1890711,0.11246618,0.2368756,0.18026887,0.16810839
128,0.24367963,0.21686928,0.041194677,0.31804317,0.048156306,0.32552546,0.100035794,0.32629162,0.22548243,0.15942709,0.06844364,0.16918835,0.24914588,0.16297452,0.17591767,0.16396162,0.1062451,0.11534038,0.15779084,0.08066612,0.16154031,0.08900073,0.11268548,0.09323036,0.1009704,0.122483924,0.23747863,0.1836766,0.10679668,0.21741626,0.16900651,0.20605181
129,0.12013572,0.21765237,0.038177222,0.3396663,0.08272112,0.30724955,0.060369655,0.31933632,0.1839208,0.14793088,0.06744514,0.1717735,0.1846579,0.15978763,0.19700846,0.16219728,0.092881605,0.10338249,,,0.15364397,0.09215042,0.12724482,0.08978613,0.105152816,0.13030587,0.24592966,0.1685005,0.11943051,0.21989003,0.16435276,0.19577327
130,0.16982032,0.20960754,0.049840655,0.28532222,0.04476948,0.29653317,0.1276825,0.32192403,0.19983959,0.15014745,0.0623847,0.18666524,0.13785024,0.17260815,0.15761916,0.16249861,0.14835566,0.11084465,,,0.15457825,0.09034496,0.15666954,0.09144866,0.6291745,0.12416921,0.20848052,0.21213257,0.12611395,0.24276921,0.14156038,0.16885597
131,0.123692445,0.21318088,0.03239781,0.28733823,0.054676026,0.2974635,0.05233669,0.38093504,0.20817296,0.16013618,0.06266269,0.17464651,0.15312059,0.16370139,0.10945711,0.1700537,0.15892565,0.1144588,,,0.14365639,0.09286991,0.18258896,0.093423374,0.31376556,0.11797574,0.18120676,0.15983489,0.11437513,0.22508353,0.15364328,0.16335848
132,0.14140446,0.23658395,0.039930437,0.26768586,0.044352565,0.3149166,0.07020506,0.32446742,0.14134574,0.15280956,0.2684916,0.16778441,0.15096037,0.1826233,0.17399293,0.1655919,0.10831327,0.101282395,,,0.113626875,0.09101637,0.4350809,0.08511982,0.22673517,0.11808838,0.17749502,0.17331018,0.15349308,0.22936009,0.15165724,0.1756002
133,0.07665983,0.21397623,0.023021169,0.27550885,0.055825725,0.31613111,0.0649661,0.35690117,0.1641153,0.16074707,0.15158805,0.16160043,0.14450243,0.15916944,0.117093764,0.16403173,0.092071824,0.104663245,,,0.18532841,0.0983148,0.22585733,0.085313536,0.47452736,0.114598304,0.19030437,0.15587977,0.09199176,0.22118664,0.17225909,0.16776448
134,0.09512417,0.22082163,0.026607972,0.3754556,0.07617681,0.29938403,0.24718446,0.40949306,0.14552742,0.15174629,0.124644466,0.16181688,0.121878,0.15889971,0.09911625,0.18413433,0.114510044,0.1212996,,,0.48175383,0.08007306,0.2221183,0.08579657,0.1804661,0.12418333,0.15577704,0.18037665,0.10398628,0.24489948,0.123557314,0.16020538
135,0.060906,0.23249017,0.045364592,0.40082413,0.060477097,0.32933095,0.06976643,0.34320492,0.15434374,0.14660336,0.19460799,0.16798055,0.09487539,0.15956642,0.113856286,0.16511677,0.09441142,0.11538942,,,0.29543898,0.08247157,0.16379327,0.085195914,0.16186324,0.12999825,0.16551891,0.15884593,0.11745209,0.23622765,0.13080469,0.16034482
136,0.1426,0.22976188,0.02227766,0.27245367,0.07648274,0.3069423,0.077821225,0.3664339,,,0.10049377,0.16015849,0.11036673,0.17340308,0.097785674,0.16933018,0.37317595,0.096442334,,,0.21183999,0.086904645,0.17012861,0.088863075,0.16931354,0.12700523,0.16835296,0.15481214,0.09673765,0.22629024,0.1585191,0.16695817
137,0.06627809,0.22136413,0.036284447,0.2912109,0.040171366,0.30416977,0.12638098,0.39741713,,,0.08085999,0.16482817,0.09033379,0.15434647,0.11575103,0.16237077,0.20938377,0.09161462,,,0.20335265,0.08558423,0.1645161,0.085455924,0.16525021,0.12160799,0.128286,0.17579733,0.092758805,0.25529182,0.15367033,0.1785177
138,0.06683722,0.22995047,0.021723323,0.29810825,0.062015936,0.29830155,0.06287712,0.3350452,,,0.081009656,0.167477,0.10678627,0.16772157,,,0.17442483,0.09187326,,,0.17248738,0.080641724,0.15821607,0.08799479,0.13850905,0.123012945,0.13975747,0.20575817,0.122450896,0.24954712,0.112969875,0.15806705
139,0.05633654,0.22410396,0.040881604,0.28748232,0.04842374,0.31082064,0.0668798,0.37572506,,,0.09250746,0.16065307,0.09145871,0.17106715,,,0.14155845,0.09170017,,,0.15502417,0.08156775,0.19152693,0.08678323,0.12869225,0.13088842,0.13941818,0.19242589,,,0.13769864,0.17157057
140,0.061744034,0.21974503,0.021959862,0.3269415,0.04379792,0.30506048,0.0931776,0.34418866,,,0.06572913,0.16696675,0.095793866,0.16878587,,,0.13240877,0.09280636,,,0.14909202,0.08367944,0.14674509,0.085288905,0.1394469,0.116946034,0.1993609,0.19231957,,,0.15080316,0.16715668
141,,,0.020162595,0.30278158,0.056778472,0.31238565,0.12931368,0.33459643,,,0.17366025,0.15804937,0.10219943,0.17255755,,,0.11751989,0.09114828,,,0.15042299,0.08266437,0.13105257,0.08740261,0.12401238,0.11286973,0.14670402,0.17375723,,,0.09728817,0.18394144
142,,,0.025474617,0.28625,0.04299004,0.30671033,0.06013251,0.328954,,,0.07618553,0.16963343,0.10107001,0.16314542,,,0.11517182,0.09299472,,,0.1315313,0.088202976,0.15346605,0.085884176,0.19059846,0.10566767,0.12828386,0.17534287,,,0.10872078,0.16966426
143,,,0.047853183,0.326429,0.04990817,0.3171924,0.06473246,0.35745782,,,0.07523581,0.1632164,0.06892934,0.17685468,,,0.110159345,0.09121809,,,0.13156791,0.082960166,,,0.22386138,0.123921365,0.1434705,0.17246982,,,0.124376096,0.17674255
144,,,0.048462395,0.26855105,0.04533915,0.31371322,0.06092681,0.35338888,,,0.061886813,0.178159,0.119749136,0.1623987,,,0.11153632,0.093906276,,,0.11610954,0.08359417,,,0.11481365,0.13135612,0.12774524,0.14525236,,,0.13839747,0.14978266
145,,,0.037563324,0.3084359,0.07607595,0.3006855,0.09386743,0.35548076,,,0.064317234,0.16103765,0.08877172,0.16040501,,,0.085234605,0.09261438,,,,,,,0.1343469,0.115710326,0.21236259,0.1651464,,,0.10642251,0.15224299
146,,,0.02876573,0.2703912,0.039801225,0.30364436,0.04836666,0.38348374,,,0.057451896,0.17038056,0.060840122,0.1612797,,,0.08897795,0.092928514,,,,,,,0.09271675,0.12578334,0.13244511,0.16013356,,,0.13211244,0.17865899
147,,,0.034163512,0.30845556,0.047481976,0.32050064,0.06301925,0.42152807,,,0.071461454,0.16988356,0.06279377,0.16406633,,,0.08772022,0.094751775,,,,,,,0.11840876,0.11598881,0.110728905,0.15387231,,,0.121595606,0.15263802
148,,,0.025069658,0.27159348,0.031310756,0.30644992,0.07083298,0.3724551,,,0.054989226,0.16343571,,,,,0.06826735,0.09224134,,,,,,,0.12885128,0.103966795,0.11969083,0.1568264,,,0.15480517,0.17286666
149,,,0.03413035,0.28335813,0.055543598,0.31886882,0.06181831,0.37195086,,,0.0667904,0.15878068,,,,,0.08738711,0.093774654,,,,,,,0.11243644,0.12768687,0.11013332,0.17465255,,,0.1341253,0.17116557
150,,,0.022594651,0.2739627,0.034665655,0.3124841,0.057921454,0.3636992,,,0.06350758,0.16489089,,,,,0.099302016,0.093836114,,,,,,,0.094747946,0.116218165,0.13007522,0.15546052,,,0.32814243,0.16291256
151,,,0.028933832,0.31623673,0.042483803,0.3217244,0.06675388,0.35748702,,,0.06456164,0.16317548,,,,,0.09126947,0.09330468,,,,,,,0.10936823,0.112547524,0.109470814,0.18620637,,,0.20515661,0.1679531
152,,,0.024117982,0.2709919,0.031944692,0.32986772,0.05807823,0.37427914,,,,,,,,,0.86512375,0.080042385,,,,,,,0.10674679,0.111119665,0.11050648,0.16320877,,,0.19227402,0.20719379
153,,,0.028762791,0.31954738,0.06362666,0.31183523,,,,,,,,,,,0.46280494,0.0783122,,,,,,,0.10108647,0.10792143,0.15959781,0.16640386,,,0.15970658,0.17933305
154,,,0.020512937,0.2680967,0.030056758,0.29947627,,,,,,,,,,,0.33873978,0.095912956,,,,,,,0.12031881,0.116421215,0.12455205,0.14330295,,,0.1506298,0.16111325
155,,,0.029576315,0.27303538,0.044808842,0.30440527,,,,,,,,,,,0.23468634,0.08088948,,,,,,,0.07558724,0.11863464,0.10680185,0.16327696,,,0.14190827,0.17562826
156,,,0.019473817,0.3706563,0.041906558,0.32620367,,,,,,,,,,,0.21121952,0.094887905,,,,,,,0.111180596,0.11572432,0.34417075,0.15854394,,,0.14013694,0.16996187
157,,,0.026571352,0.27685294,0.028413825,0.3023951,,,,,,,,,,,0.3494412,0.08161511,,,,,,,0.08666495,0.11761638,0.26235875,0.16219744,,,0.14268991,0.18229888
158,,,0.02458758,0.30080813,0.04729552,0.30385,,,,,,,,,,,0.18601212,0.08716965,,,,,,,0.09490529,0.10817109,0.15325327,0.16726914,,,0.12099336,0.19355194
159,,,0.018084778,0.2784733,0.12605013,0.29814935,,,,,,,,,,,0.15750171,0.0846465,,,,,,,0.49863583,0.10851754,0.16297886,0.14530082,,,0.14412278,0.18696551
160,,,0.029608823,0.28472403,0.03431935,0.3100127,,,,,,,,,,,0.1137181,0.0978903,,,,,,,0.27078235,0.110468216,0.14046109,0.18914081,,,0.11109772,0.16356614
161,,,0.01689154,0.28907824,0.03114923,0.34907883,,,,,,,,,,,0.14368288,0.0864562,,,,,,,0.19814986,0.1078719,0.13330726,0.15711415,,,0.11708351,0.17075357
162,,,0.026316801,0.2809778,0.05645173,0.32173672,,,,,,,,,,,0.111990534,0.08301628,,,,,,,0.17511053,0.10849324,0.12813023,0.16845538,,,0.11623398,0.21813321
163,,,0.016573057,0.2973964,0.046153843,0.29860762,,,,,,,,,,,0.13789216,0.09199982,,,,,,,0.18164547,0.10251233,0.11575166,0.17054291,,,0.1300814,0.17575149
164,,,0.026979145,0.2716394,0.025716057,0.32832852,,,,,,,,,,,,,,,,,,,0.15653181,0.10471663,0.1315803,0.1829782,,,0.11796442,0.17678781
165,,,0.050443903,0.31338838,0.045409724,0.3036667,,,,,,,,,,,,,,,,,,,0.14675002,0.10891771,0.17865203,0.17020917,,,0.26498508,0.16375427
166,,,0.039063975,0.2751306,0.033317164,0.30349156,,,,,,,,,,,,,,,,,,,0.1167108,0.114555866,0.122154355,0.16177385,,,0.18231651,0.15472881
167,,,0.060688443,0.2773052,0.024737524,0.3114382,,,,,,,,,,,,,,,,,,,0.13000481,0.09834598,0.11230106,0.17770131,,,0.143741,0.19190098
168,,,0.025525846,0.4337727,0.041325375,0.36046758,,,,,,,,,,,,,,,,,,,0.12602657,0.11125262,0.094383776,0.15708622,,,0.21913487,0.19020556
169,,,0.053908184,0.2857552,0.08956401,0.2979283,,,,,,,,,,,,,,,,,,,0.12013936,0.10540314,0.106960766,0.1611647,,,0.13575906,0.20754485
170,,,0.026709793,0.31695914,0.043372825,0.3121738,,,,,,,,,,,,,,,,,,,0.108447775,0.09969521,,,,,0.114662275,0.18370086
171,,,0.027462067,0.2699839,,,,,,,,,,,,,,,,,,,,,0.09851833,0.107368916,,,,,0.13040212,0.19398104
172,,,0.025107028,0.2982492,,,,,,,,,,,,,,,,,,,,,0.11778685,0.11149625,,,,,0.13650407,0.17817657
173,,,0.024338545,0.3454775,,,,,,,,,,,,,,,,,,,,,0.11550687,0.113863334,,,,,0.13342662,0.15919317
174,,,0.035136476,0.28837022,,,,,,,,,,,,,,,,,,,,,0.100675136,0.103876,,,,,0.112554565,0.17501049
175,,,0.018153103,0.28859687,,,,,,,,,,,,,,,,,,,,,0.10423715,0.11380921,,,,,0.12060021,0.18218344
