,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,random spatio-temporal X_st rnd d_c train,random spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,random spatio-temporal X_st min d_c train,random spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,random spatio-temporal X_st max d_c train,random spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,random spatio-temporal X_st avg d_c train,random spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","random spatio-temporal X_(t,s) rnd d_c train","random spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","random spatio-temporal X_(t,s) min d_c train","random spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","random spatio-temporal X_(t,s) max d_c train","random spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","random spatio-temporal X_(t,s) avg d_c train","random spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","random spatio-temporal Y_hat_(t,s) rnd d_c train","random spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","random spatio-temporal Y_hat_(t,s) min d_c train","random spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","random spatio-temporal Y_hat_(t,s) max d_c train","random spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","random spatio-temporal Y_hat_(t,s) avg d_c train","random spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","random spatio-temporal Y_(t,s) rnd d_c train","random spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","random spatio-temporal Y_(t,s) min d_c train","random spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","random spatio-temporal Y_(t,s) max d_c train","random spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val","random spatio-temporal Y_(t,s) avg d_c train","random spatio-temporal Y_(t,s) avg d_c val"
7,0.3999798,0.52776647,0.54256064,0.49657023,0.47360086,0.5370831,0.48013955,0.5601657,0.47263113,0.590585,0.5826417,0.5844075,0.49352163,0.59607637,0.6021869,0.58495617,0.8563353,0.48446134,0.6327322,0.50619775,0.84876007,0.49768806,0.707187,0.6056174,0.8472012,0.50650024,0.6108137,0.6099573,0.99317527,0.4996624,0.5808188,0.5029806,0.51225954,0.548676,1.3342687,0.44762924,0.54552555,0.51349086,1.1625936,0.49331054,0.76825684,0.52151126,1.4198174,0.45899883,0.68969554,0.5245666,1.5247163,0.42401442,2.7804759,0.6746072,1.6096798,0.42883402,2.8892465,0.79651207,1.8126627,0.5324576,2.8108428,0.72710997,1.9711704,0.72687936,3.0631795,0.6471776,2.0751097,0.5630254
8,0.37067848,0.5597419,0.45794082,0.617091,0.4448063,0.61014235,0.52978677,0.5435327,0.46414044,0.643201,0.5949087,0.58806986,0.52424395,0.5822705,0.54218733,0.5846122,0.8597201,0.49991423,0.5823601,0.5049366,0.9065151,0.5072362,0.6575655,0.49985588,0.8051212,0.53421086,0.59357446,0.5264216,1.0213845,0.52177864,0.6100427,0.50653017,0.48866063,0.53654844,1.2630012,0.42303926,0.5005594,0.4949282,1.1048362,0.42879152,0.7188615,0.51121163,1.3101616,0.4612592,0.62367433,0.509408,1.4587448,0.40546763,2.843672,0.45128992,1.5135709,0.49478486,2.8047636,0.6457295,1.718892,0.53120047,2.7908006,0.8668063,1.8853422,0.60769063,2.7870293,0.699252,1.9741602,0.52759916
9,0.3526521,0.54543453,0.47880644,0.51345223,0.46716774,0.51077956,0.510642,0.5889112,0.43174013,0.58209646,0.52806336,0.6097461,0.4837321,0.5979429,0.50079995,0.5697958,0.8099531,0.4691062,0.57775205,0.53348124,0.8499139,0.49816474,0.5844617,0.5094177,0.74218994,0.5459629,0.60378796,0.5363972,0.87920344,0.5126179,0.5263707,0.48262098,0.50463927,0.55427825,1.1762719,0.4011696,0.44676957,0.51626694,1.0337983,0.4123013,0.68237746,0.5072822,1.2557445,0.51566416,0.6760443,0.5067998,1.3684442,0.41315362,2.6587188,0.51249325,1.4586827,0.52508044,2.7067635,0.5194549,1.6388563,0.45903128,2.6617239,0.7791196,1.8769369,0.59826416,2.7342079,0.6019143,1.7914829,0.49542782
10,0.34413388,0.5013504,0.4179658,0.7676091,0.45870212,0.5101534,0.46372652,0.5571034,0.4121732,0.59037817,0.5499137,0.5799385,0.5341653,0.5978226,0.48746505,0.57112515,0.73460734,0.47446492,0.53242105,0.54644734,0.81739515,0.48296154,0.58438647,0.49844024,0.72410226,0.5314897,0.5828513,0.49368733,0.94303507,0.49378666,0.5199786,0.56536007,0.51767457,0.5229994,1.1289785,0.40755638,0.50069535,0.50698435,1.0363468,0.39437076,0.6605489,0.496806,1.2948507,0.39165688,0.63761085,0.5023193,1.4100598,0.3941688,2.548725,0.53528404,1.3602465,0.44100174,2.521669,0.6242751,1.4833763,0.44109526,2.5243137,0.75954944,1.7442036,0.6450647,2.6101685,0.59144586,1.7536894,0.5496083
11,0.32012802,0.49623013,0.40687543,0.49331835,0.4116892,0.50508434,0.46354666,0.5317264,0.41046783,0.60908836,0.5443191,0.5710594,0.47460723,0.58063865,0.46043882,0.5733448,0.7354239,0.5170439,0.5489938,0.50531775,0.79010826,0.47524744,0.53865695,0.51196253,0.6902573,0.5165892,0.50995266,0.5354772,0.86604697,0.5077258,0.5402782,0.5034741,0.4623987,0.50979066,1.0730908,0.4152949,0.46636888,0.51783687,0.9858723,0.39292446,0.6260058,0.52189434,1.2107081,0.42455098,0.61611384,0.5027618,1.3207147,0.37524962,2.489388,0.5730164,1.3203899,0.42902756,2.4666169,0.6945958,1.5271946,0.5512792,2.388662,0.7028009,1.6477536,0.6287331,2.4616969,0.99826616,1.6182582,0.53151625
12,0.3137947,0.57540613,0.40827304,0.50725526,0.42597458,0.5209744,0.4356996,0.5608953,0.38156298,0.5969065,0.50807774,0.5686171,0.42266187,0.58915406,0.42547807,0.545499,0.6633396,0.48217443,0.47966132,0.5524595,0.73962057,0.4967359,0.5060905,0.47244006,0.70589024,0.5122524,0.5779547,0.47912595,0.9206128,0.55613756,0.49634385,0.50177926,0.44539654,0.60562384,0.991324,0.39205587,0.42704573,0.538583,0.9444965,0.3821775,0.62958056,0.51140803,1.1007059,0.38826275,0.59127647,0.49675697,1.2545749,0.36959434,2.3850777,0.56180936,1.3278698,0.4453629,2.4434037,0.46215722,1.3627609,0.5405027,2.3377173,0.5462899,1.7579124,0.476544,2.3380017,0.8397521,1.5632607,0.54620814
13,0.3002999,0.5873427,0.43115202,0.5014845,0.39357924,0.50242436,0.43283406,0.580379,0.3991581,0.57879287,0.52556616,0.60698295,0.42415124,0.58097976,0.39030498,0.5645552,0.74949753,0.48323056,0.47611463,0.5238008,0.713401,0.5042119,0.5244831,0.4894405,0.6171704,0.53393,0.4796209,0.54689443,0.816528,0.5181973,0.46957454,0.5592356,0.46397924,0.5563281,0.9588474,0.40143716,0.42088595,0.5079819,0.8702769,0.5435318,0.5822322,0.5257509,1.0521878,0.37286696,0.57873344,0.52895355,1.2114189,0.37929365,2.2762918,0.52855957,1.1824676,0.39504498,2.286206,0.5724951,1.3652029,0.4862657,2.226956,0.7041933,1.6710874,0.5633577,2.2827806,0.71176606,1.4606512,0.67432946
14,0.29688486,0.5685627,0.37245402,0.4830544,0.40071413,0.59598273,0.4059446,0.5355889,0.38462177,0.5922287,0.5097403,0.5664779,0.4209322,0.6017199,0.46406043,0.5465226,0.61360013,0.47396573,0.48910028,0.52824134,0.70144886,0.5180136,0.49521652,0.5046036,0.70121056,0.5299657,0.435718,0.5318638,0.7568593,0.49333903,0.46838212,0.49788705,0.4134386,0.52205485,0.9165903,0.4212925,0.4343698,0.5167318,0.910692,0.37510794,0.5466966,0.5156895,1.020023,0.3762553,0.58374304,0.6547361,1.127061,0.37839347,2.245091,0.4445648,1.1863129,0.44010937,2.1959767,0.6725422,1.30397,0.42885596,2.2418168,0.62340647,1.5691755,0.44174093,2.269072,0.48032337,1.3967595,0.53860265
15,0.27086127,0.48818234,0.3376123,0.5338978,0.40063587,0.620376,0.38543677,0.5822301,0.35907733,0.6385129,0.527753,0.57430434,0.3944831,0.5861736,0.38953468,0.56429195,0.67082816,0.5066584,0.45761803,0.51573503,0.69693315,0.5278574,0.43201217,0.4946126,0.5762292,0.52842814,0.4425864,0.5313479,0.7467892,0.63445437,0.44403175,0.48207095,0.40734723,0.516538,0.8790754,0.43096,0.4097179,0.5089569,0.8285349,0.38429043,0.5287212,0.6047162,1.0073658,0.3790986,0.5888369,0.5112518,1.131967,0.3811727,2.167367,0.57666016,1.1356438,0.46552455,2.1800485,0.68650734,1.2546241,0.4780993,2.147559,0.6196183,1.4719372,0.7139438,2.1232338,0.56120056,1.4126441,0.51150113
16,0.26060137,0.52956367,0.32660338,0.5275061,0.4078068,0.6416228,0.43102148,0.5599221,0.34469038,0.6732255,0.48041314,0.5731486,0.40408903,0.590514,0.3624481,0.56629443,0.61549115,0.46735528,0.96793836,0.43518525,0.64022917,0.4892622,0.4439225,0.50863314,0.54515207,0.5367846,0.44370535,0.4920864,0.7513281,0.49728432,0.45868286,0.6514204,0.4205151,0.5414962,0.8616815,0.4112476,0.3965328,0.57733965,0.7672026,0.37346172,0.5143957,0.54010224,0.9423273,0.41164547,0.56080705,0.5217355,1.0595511,0.38469124,2.0249689,0.4847576,1.0664775,0.4350478,2.09362,0.4268456,1.2183862,0.53963387,1.961845,0.7356536,1.3491794,0.6669587,2.030276,1.7303418,1.3455123,0.6022595
17,0.2776398,0.48898253,0.35261503,0.48720348,0.39403403,0.5146982,0.3459973,0.60393757,0.379559,0.6234547,0.4832731,0.5925418,0.35465866,0.57811284,0.33301497,0.5454231,0.6131063,0.4651825,0.81124854,0.4318374,0.58011025,0.52429056,0.42941386,0.52891934,0.58068657,0.5178485,0.3948986,0.48938084,0.6682493,0.4902735,0.40036786,0.565543,0.39280367,0.52798265,0.7963241,0.41629216,1.5805385,0.38372394,0.77581257,0.37750292,0.47195876,0.5308852,0.94141114,0.39094973,0.5228954,0.52315325,1.0389189,0.37153208,2.2873037,0.4585082,1.0117227,0.53649586,2.087809,0.6098652,1.1504185,0.47158542,1.9624147,0.7088329,1.3694123,0.6468494,2.0372796,0.8449442,1.8156309,0.46512544
18,0.2306652,0.548737,0.3036015,0.56474435,0.37134832,0.51404494,0.32138512,0.55258805,0.32772744,0.6155672,0.43846938,0.5735751,0.32429096,0.5986357,0.36216575,0.55556947,0.5641748,0.47926003,0.7224152,0.552895,0.6234849,0.472458,0.38346198,0.48519814,0.72897404,0.48570237,0.38544068,0.5093603,0.66021776,0.4919961,0.4042623,0.47628534,0.34940594,0.53500545,0.74344444,0.42607155,1.3000106,0.46336168,0.7335739,0.38906077,0.4936434,0.5692897,0.937996,0.41221902,0.5236252,0.52935666,0.9590494,0.4182539,2.1628466,0.38256782,0.9616208,0.46072713,2.0545366,0.6486713,1.1079854,0.4940954,1.9419641,0.75999016,1.3111435,0.4446074,1.9612756,1.9179701,1.6681106,0.5078296
19,0.2652046,0.50090665,0.28648698,0.54389066,0.35361344,0.5218185,0.31764898,0.54168975,0.33267936,0.61017877,0.4064116,0.5803038,0.37314817,0.5861654,0.30024907,0.5703516,0.5088406,0.46929455,0.6814081,0.42177907,0.5830329,0.464324,0.37080598,0.47671607,0.7014028,0.4797733,0.3683442,0.4952787,0.6135829,0.54707927,0.36291268,0.4892327,0.388366,0.525423,0.74078304,0.42995045,1.1604497,0.41170767,0.6802509,0.3993758,0.45523667,0.549508,0.8470273,0.38852522,0.5052625,0.51899713,0.94974935,0.3707882,1.9671884,0.42719638,0.9802698,0.46773395,1.9334852,0.49800494,1.0586083,0.4681463,1.8714877,0.6624872,1.2522796,0.5223895,1.8470017,2.151229,1.5048494,0.43247074
20,0.25344637,0.51951486,0.2787369,0.4980311,0.33861855,0.54196274,0.3297244,0.55184686,0.32266137,0.60838366,0.4017854,0.61706066,0.3048403,0.5942125,0.31253868,0.56243384,0.49765328,0.48090306,0.6769428,0.43945974,0.57258177,0.47865203,0.36777508,0.48321334,0.57207125,0.4813447,0.36118898,0.48999563,0.61613685,0.48336977,0.32878795,0.57509065,0.32631654,0.51174426,0.6873396,0.4086667,1.0482221,0.40078598,0.6731168,0.41012105,0.43927163,0.53199583,0.8570543,0.37394035,0.47247285,0.5407229,0.9334075,0.37201434,1.9693588,0.53159314,0.9324377,0.47350198,1.8170309,0.54541415,1.054369,0.508029,1.8116648,0.7765554,1.191679,0.5394427,1.7955577,1.4609616,1.4546633,0.51690465
21,0.22252816,0.52292436,0.28996173,0.5985263,0.35810524,0.5288103,0.3281165,0.5726465,0.3043811,0.6021733,0.44367498,0.56284493,0.31450063,0.6146862,0.2741663,0.564363,0.46120846,0.53390884,0.6183238,0.4194402,0.4838386,0.5165937,0.37408713,0.49686685,0.64449173,0.46730596,0.3349252,0.51062673,0.5623729,0.4979643,0.3837245,0.48582944,0.2989285,0.60505545,0.66270334,0.40768516,1.0053602,0.44516212,0.6781716,0.38535094,3.9623218,0.30099174,0.77429223,0.43692693,0.5253048,0.5272279,0.88523674,0.3709893,1.9169368,0.43832123,0.8924661,0.46245,1.8855428,0.585583,1.023696,0.5377586,1.7126666,0.87767714,1.1431084,0.57931906,1.7910342,0.9872597,1.4366739,0.48908353
22,0.23253994,0.5453902,0.27403748,0.50573695,0.29668096,0.5118191,0.6709604,0.48831296,0.30104268,0.6047197,0.38577083,0.5736282,0.29615298,0.5996227,0.26553738,0.5600946,0.48129502,0.5693894,0.58000237,0.44469216,0.51382583,0.4848512,0.3528859,0.50329125,0.546456,0.46051243,0.32131168,0.51489794,0.5168371,0.52237,0.33063483,0.5983212,4.4155545,0.23520193,0.6853093,0.40316564,0.94176257,0.41881844,0.622328,0.38862246,3.5204275,0.3060882,0.8145689,0.403835,0.43731058,0.53657943,0.8455156,0.3710057,1.931518,0.44061092,0.86355495,0.44321656,1.7483507,0.549771,0.9482472,0.5640548,1.682892,0.72855103,1.098254,0.50652206,1.6835649,0.67234814,1.3241706,0.4793434
23,0.22519618,0.5085971,0.25361365,0.5606909,0.3176241,0.54305315,0.56929636,0.46949545,0.29062474,0.61124104,0.37089014,0.6242756,0.27796856,0.6221975,0.2709431,0.5627857,0.44670755,0.5075299,0.5531776,0.43838555,0.5299577,0.51232105,0.68358356,0.45428756,0.49788487,0.45194733,0.66311085,0.49434534,0.60139066,0.5057535,0.31249154,0.5132244,3.4963603,0.22932488,1.3705484,0.30774882,0.8874803,0.4653117,0.6156997,0.37652376,3.1450162,0.30782244,0.7224415,0.40908054,3.852287,0.29549187,1.7686969,0.29141185,1.7722399,0.4712309,0.8079323,0.43321395,1.6996516,0.54162943,0.9245141,0.53314257,1.7313423,0.7482752,1.083675,0.52214944,1.6368772,0.95412815,1.2139837,0.47904408
24,0.21683416,0.517007,0.23937513,0.6503665,0.45552453,0.502167,0.4776212,0.50619644,0.3435278,0.6033207,0.35722914,0.5912427,0.28248492,0.5994233,0.24164723,0.58382165,0.44053787,0.4987699,0.52190745,0.4305151,0.45351174,0.5154112,0.5630102,0.466783,0.47362202,0.4601605,0.58762187,0.43706712,0.5058131,0.53385526,0.35131416,0.50777763,3.2562413,0.22780035,1.1040554,0.33336765,0.86282545,0.44982606,0.6001077,0.3790478,2.9421237,0.34772167,1.4970473,0.30812323,3.2830634,0.28741607,1.4599969,0.27898654,1.8187844,0.4647553,1.4135448,0.33685884,1.6467255,0.6271125,0.89418596,0.49039513,1.6911467,0.57695633,1.0287553,0.5523551,1.6033224,0.9954336,1.2521522,0.53982884
25,0.2141884,0.5180893,0.44890493,0.46298236,0.37291235,0.4742222,0.44272128,0.4519228,0.31755573,0.5855532,0.37781096,0.57713026,0.2671037,0.5902143,0.2527789,0.5935111,0.47887015,0.49460128,0.5357796,0.50820524,0.47646457,0.5052782,0.5491072,0.46324247,0.43958184,0.46601698,0.54808295,0.4443991,0.5129083,0.4946641,0.2863881,0.48216498,3.0291905,0.22697695,1.0247533,0.30992883,0.8024629,0.42662993,0.53188765,0.38552916,2.77012,0.35824412,1.2709671,0.2940443,2.8077638,0.2726426,1.2873483,0.30491439,1.743351,0.4167816,1.1572465,0.35506886,1.6666448,0.62350905,1.5902268,0.44371107,1.6350675,0.7605048,1.5471011,0.5318411,2.0073836,0.7029769,1.1175561,0.48833835
