,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
2,0.41746199131011963,0.5789977312088013,0.583919882774353,0.5579470992088318,0.5456777215003967,0.5581954717636108,0.6149725914001465,0.6138675212860107,0.9841768741607666,0.5276758670806885,1.603724718093872,0.4834561049938202,1.2554113864898682,0.47830426692962646,1.2978436946868896,0.47931864857673645,1.2346326112747192,0.5148758888244629,1.487459659576416,0.4587782621383667,1.2299975156784058,0.5770330429077148,1.2724210023880005,0.508113443851471,1.1100716590881348,0.5073516964912415,4.440202713012695,0.7042964696884155,4.356694221496582,1.0225046873092651,4.361887454986572,0.6822030544281006,4.568750858306885,1.1048723459243774
3,0.38639339804649353,0.7180586457252502,0.4710242450237274,0.7184281349182129,0.5751782655715942,0.5402476191520691,0.5703303813934326,0.580162525177002,0.8827217221260071,0.5213277339935303,1.4488874673843384,0.4966551959514618,1.2731547355651855,0.49755552411079407,1.2187057733535767,0.47413936257362366,1.1916640996932983,0.5135309100151062,1.4261060953140259,0.4597582519054413,1.1792906522750854,0.47810354828834534,1.1966110467910767,0.48253947496414185,1.1639010906219482,0.4829331040382385,3.9262261390686035,0.860098659992218,3.777589797973633,1.0034550428390503,4.01223087310791,0.5194513201713562,4.224924087524414,0.5936743021011353
4,0.42948630452156067,0.5473714470863342,0.5150376558303833,0.6207157373428345,0.4923824369907379,0.5465445518493652,0.5314571857452393,0.5923004746437073,0.9113702774047852,0.5116528868675232,1.4217427968978882,0.45513084530830383,1.2390499114990234,0.4643721580505371,1.0953705310821533,0.4844678044319153,1.3021420240402222,0.48418954014778137,1.404971718788147,0.4559785723686218,1.1357049942016602,0.4803456664085388,1.1249744892120361,0.4614066183567047,1.0589085817337036,0.47110360860824585,3.5037002563476562,0.6662514805793762,3.599048376083374,0.6832640171051025,3.5699315071105957,0.8740348815917969,3.9962387084960938,0.462757408618927
5,0.40473684668540955,0.542826771736145,0.44847366213798523,0.6309629082679749,0.4897686541080475,0.5345805287361145,0.501720130443573,0.579710841178894,0.8083242177963257,0.5140835046768188,1.3755950927734375,0.4683065414428711,1.176283597946167,0.4677053987979889,1.1069087982177734,0.4784506559371948,1.0821003913879395,0.4792778193950653,1.2984263896942139,0.47273582220077515,1.051615595817566,0.48408615589141846,1.104103922843933,0.48052600026130676,1.0736231803894043,0.47066420316696167,3.215630054473877,0.6240779161453247,3.43522047996521,1.1390348672866821,3.4675519466400146,0.812667727470398,3.5153048038482666,0.6144840717315674
6,0.4044337272644043,0.5313152074813843,0.464112788438797,0.7438516616821289,0.44825026392936707,0.565248966217041,0.48801153898239136,0.5934687852859497,0.7766427993774414,0.5159199833869934,1.336482286453247,0.46218428015708923,1.1244419813156128,0.4600238800048828,1.0856229066848755,0.4656301736831665,1.143537998199463,0.4777761697769165,1.2100857496261597,0.4528611898422241,1.0085387229919434,0.49077939987182617,1.0385626554489136,0.5488355755805969,1.0708285570144653,0.46176180243492126,3.050933837890625,0.7021843194961548,3.134631872177124,0.6237578988075256,3.157115936279297,0.5910139083862305,3.3608860969543457,0.6459162831306458
7,0.35457736253738403,0.5312861800193787,0.512880265712738,0.5733845829963684,0.505651593208313,0.5501508116722107,0.49679961800575256,0.5775520205497742,0.8001515865325928,0.5043639540672302,1.320305585861206,0.446085125207901,1.1207560300827026,0.47356677055358887,0.9993000030517578,0.4625786542892456,1.0459189414978027,0.4599634110927582,1.2033551931381226,0.4708287715911865,1.027309775352478,0.4772917330265045,1.0938315391540527,0.46541476249694824,1.0558170080184937,0.461147665977478,2.9049501419067383,0.6342083811759949,2.9546172618865967,0.782426118850708,2.9476571083068848,0.762736976146698,3.141991138458252,0.6584349274635315
8,0.37958142161369324,0.5266343951225281,0.5417792201042175,0.5885461568832397,0.49022549390792847,0.5481458902359009,0.49203506112098694,0.5884586572647095,0.7356118559837341,0.5203881859779358,1.2805426120758057,0.4611506462097168,1.0696362257003784,0.4722912609577179,0.9788118004798889,0.49940940737724304,1.0520563125610352,0.47843480110168457,1.1712472438812256,0.4506295323371887,0.9839916229248047,0.4747062623500824,1.0055797100067139,0.4786018133163452,1.0323598384857178,0.4547143876552582,2.826747179031372,0.7242442965507507,2.884481906890869,0.6653141379356384,2.8697569370269775,0.5935866832733154,3.0428502559661865,0.6059195399284363
9,0.3791044354438782,0.5212336778640747,0.41066157817840576,0.5570822954177856,0.4595987796783447,0.553908109664917,0.46906915307044983,0.5719799995422363,0.7892515063285828,0.5318959355354309,1.2363609075546265,0.446042001247406,1.0115313529968262,0.4713844656944275,0.9761714935302734,0.49258407950401306,1.049432635307312,0.45836272835731506,1.160991907119751,0.45120665431022644,0.9697694182395935,0.46929675340652466,0.9689610600471497,0.49882227182388306,1.0124129056930542,0.45453155040740967,2.6999518871307373,0.8315529823303223,2.7076563835144043,0.5467775464057922,2.7822630405426025,0.629604697227478,2.863201141357422,0.605714738368988
10,0.3372371792793274,0.5236659646034241,0.4526813328266144,0.8199728727340698,0.41100627183914185,0.5633969306945801,0.44439807534217834,0.5664318203926086,0.7291245460510254,0.565718412399292,1.124103307723999,0.4532540440559387,1.0143139362335205,0.4563795328140259,0.9822023510932922,0.4586419463157654,0.9486457109451294,0.44560110569000244,1.153679609298706,0.4551999568939209,0.9430992007255554,0.5042970776557922,0.9539543390274048,0.4627573490142822,1.0078225135803223,0.44755515456199646,2.5468084812164307,0.7418014407157898,2.5638322830200195,0.5505197048187256,2.6912670135498047,0.8131078481674194,2.8110909461975098,0.6484153866767883
11,0.31840816140174866,0.49966326355934143,0.40645745396614075,0.7190600633621216,0.4381830096244812,0.5686729550361633,0.42620569467544556,0.6132434606552124,0.728855550289154,0.5267686247825623,1.1358706951141357,0.471047043800354,0.9112560749053955,0.4620834290981293,0.9504588842391968,0.5303128957748413,0.990182101726532,0.4433497190475464,1.0750473737716675,0.4701215922832489,0.9255636930465698,0.47889330983161926,0.8898485898971558,0.47526684403419495,0.9116052389144897,0.480755090713501,2.5190205574035645,0.6636772751808167,2.5345635414123535,1.115522027015686,2.5809826850891113,0.4902397394180298,2.6298208236694336,0.6160358786582947
