,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
8,0.381939172744751,0.797863006591797,2.2050187587738,0.592203140258789,1.0768084526062,0.611218392848969,5.13530158996582,0.720242500305176,1.42696583271027,0.66440337896347,0.647625863552094,0.698251724243164,0.701605677604675,0.779503583908081,0.623161733150482,0.717708587646484,0.635763287544251,0.770137131214142,0.300926566123962,1.02952539920807,0.401054441928863,0.884509980678558,0.413409858942032,0.979648113250732,0.46861919760704,0.973806142807007,2.9493510723114,0.606037318706512,3.64756917953491,1.13068068027496,3.11644792556763,0.826158285140991,3.95334815979004,0.694092452526093
9,0.324689030647278,1.11196053028107,1.91138350963593,0.605608999729157,0.981246650218964,0.620942771434784,4.85310554504395,0.739989280700684,1.21108245849609,0.706287980079651,0.543344497680664,0.802624523639679,0.598753273487091,0.777643740177154,0.486010551452637,0.735876560211181,0.661598086357117,0.828925132751465,0.250794738531113,1.04584431648254,0.309186398983002,0.950770318508148,0.392396867275238,1.14416480064392,0.408643394708633,0.960249960422516,3.19321250915527,0.682593703269959,3.9659595489502,0.763433754444122,2.83052539825439,0.718806862831116,3.60682964324951,0.709857285022736
10,0.347918331623077,0.837505280971527,1.81569528579712,0.610992193222046,0.911525249481201,0.58612859249115,4.82785987854004,0.68219006061554,1.09643530845642,0.874607861042023,0.529743671417236,0.804527699947357,0.628491163253784,0.734617650508881,0.432149529457092,0.759958863258362,0.512746691703796,0.746667563915253,0.282492995262146,1.07562506198883,0.342111825942993,0.997818112373352,0.289965212345123,1.18054890632629,0.455786615610123,0.915645897388458,2.71103549003601,0.608489573001862,3.36663603782654,0.794175803661346,2.75210523605347,0.747311770915985,3.41100358963013,0.700030207633972
11,0.278769493103027,0.887535870075226,1.6824551820755,0.582409203052521,0.769600987434387,0.630768299102783,4.16628932952881,0.715937912464142,0.98244696855545,0.704686522483826,0.450108528137207,0.747097551822662,0.535829782485962,0.797615468502045,0.391541987657547,0.747440338134766,0.45872375369072,0.782826662063599,0.174419686198235,1.03535676002502,0.253298342227936,0.976811528205872,0.269096165895462,1.12722361087799,0.331455409526825,1.18757688999176,2.42135739326477,0.581578612327576,3.13716673851013,0.729355812072754,3.12588024139404,0.801287353038788,3.29296040534973,0.698306262493133
12,0.240691930055618,0.755847096443176,1.43943476676941,0.607504606246948,0.645231068134308,0.668660759925842,4.14379024505615,0.646338701248169,0.885567545890808,0.811021149158478,0.389936894178391,0.756947457790375,0.477777034044266,0.833833813667297,0.369515925645828,0.859836995601654,0.432237714529038,0.775582671165466,0.203788757324219,1.04640817642212,0.263580143451691,0.911120295524597,0.246404871344566,1.20931339263916,0.320769459009171,0.948037326335907,2.38543200492859,0.67172634601593,2.82960295677185,0.729407787322998,2.41264128684998,0.710870087146759,3.00448966026306,0.64790678024292
13,0.236051395535469,0.871469140052795,1.42923855781555,0.574015319347382,0.681111633777618,0.704698443412781,3.6754207611084,0.796908259391785,0.89476615190506,0.800989210605621,0.378960847854614,0.728951692581177,0.47700971364975,0.873663544654846,0.314266383647919,0.855427265167236,0.382954239845276,0.896035552024841,0.217691034078598,1.02548801898956,0.293234199285507,0.913422226905823,0.262558043003082,1.10646438598633,0.281160771846771,0.96877509355545,2.14675283432007,0.637002527713776,2.72851014137268,0.693293213844299,2.35393977165222,0.658074915409088,2.85506367683411,0.700904488563538
14,0.344238996505737,0.865519404411316,1.42255294322968,0.574549674987793,0.623312830924988,0.592025399208069,5.07327079772949,1.44201874732971,0.71836656332016,0.731076598167419,0.351687580347061,0.760278880596161,0.417616426944733,0.779852390289306,0.279667109251022,0.737837851047516,0.370031923055649,0.808693051338196,0.161366730928421,1.01249420642853,7.02930068969727,0.815547525882721,0.160061702132225,1.35484933853149,0.267521947622299,0.941350877285004,2.06514978408813,0.583415806293487,2.61688041687012,0.865825474262237,2.33805418014526,0.689622759819031,2.61126017570496,0.649666130542755
15,0.242801398038864,0.796170473098755,1.23105359077454,0.56785523891449,0.576345324516296,0.60904860496521,3.42759418487549,0.695774734020233,0.824120938777924,0.761772871017456,0.296763360500336,0.824586689472199,2.09378480911255,0.929248809814453,1.64529871940613,0.658591449260712,0.334712356328964,0.775056421756744,0.137625247240067,1.02483797073364,6.24923706054688,1.26228260993958,0.24571830034256,1.08058822154999,0.283866435289383,0.927479684352875,1.87933588027954,0.617378711700439,2.3996250629425,0.700358986854553,2.10738682746887,0.658693253993988,2.58533668518066,0.725238144397736
16,0.229710832238197,0.795353651046753,1.11307895183563,0.571275055408478,0.612163364887237,0.62095445394516,2.99413728713989,0.696317076683044,0.767269968986511,0.703448355197907,0.343742072582245,0.80878621339798,1.6137570142746,0.631342470645905,1.24073028564453,0.637893497943878,0.31877589225769,0.811966717243195,0.187279149889946,1.05639815330505,5.50399541854858,0.594317615032196,0.121434986591339,1.8342045545578,0.234472587704658,0.943220436573029,1.84147894382477,0.656678080558777,2.76519870758057,0.620024740695953,1.95715582370758,0.781321823596954,2.37835478782654,0.652719259262085
17,0.469733059406281,0.984210014343262,1.13351225852966,0.596845090389252,0.498659729957581,0.621421635150909,2.67119717597961,1.07453429698944,0.655235409736633,0.736124098300934,0.301801741123199,0.793831944465637,1.24599099159241,0.670495569705963,1.15165686607361,0.644926846027374,0.292060315608978,0.766762733459473,7.31225299835205,0.806162595748901,4.96874761581421,0.535000085830689,0.157582461833954,1.08953809738159,0.236888960003853,1.05716228485107,1.78018927574158,0.643137454986572,2.48168754577637,0.761498034000397,1.88513362407684,0.797042965888977,2.21626615524292,0.64148610830307
