,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
12,0.9497158527374268,1.0779327154159546,2.5664501190185547,0.9062150120735168,2.578334331512451,0.9894425868988037,5.336806774139404,0.9213067293167114,5.575472831726074,0.9240201115608215,2.1346681118011475,1.0046601295471191,2.252448558807373,1.0585668087005615,2.2844667434692383,1.1184723377227783,2.155010938644409,1.0605555772781372,0.8256227970123291,1.3484508991241455,0.8522577881813049,1.2891978025436401,0.953403115272522,1.3530346155166626,0.9281702637672424,1.4952406883239746,4.577991485595703,0.8600903153419495,4.9513773918151855,0.6572449803352356,4.966912269592285,0.979444146156311,5.2370405197143555,1.1508338451385498
13,0.8914598226547241,1.0726697444915771,2.5510690212249756,0.9220902919769287,2.447157382965088,0.9361274242401123,5.12105131149292,0.9004980325698853,5.255107402801514,0.9434486627578735,1.993843674659729,1.0071756839752197,2.015840768814087,0.9985754489898682,2.1233437061309814,1.1240102052688599,2.0342392921447754,1.08733332157135,0.7922998070716858,1.1332100629806519,0.8125644326210022,1.417894721031189,0.9054281115531921,1.39860999584198,0.8842002153396606,1.4947733879089355,4.534945011138916,0.8801604509353638,4.9041619300842285,0.7109867334365845,4.868940830230713,1.031321406364441,5.022099018096924,0.8608288168907166
14,0.8343948125839233,1.1139013767242432,2.5171852111816406,0.9250276684761047,2.3461039066314697,0.9920854568481445,4.9323248863220215,0.8986766934394836,4.8687663078308105,0.919063925743103,1.8649933338165283,1.0061030387878418,1.934440016746521,1.0066380500793457,1.9567984342575073,1.052814245223999,1.9604854583740234,1.0378388166427612,0.7570049166679382,1.4322179555892944,0.7652510404586792,1.2528761625289917,0.8700588345527649,1.2919148206710815,0.853538453578949,1.4758294820785522,4.367806911468506,0.8039043545722961,4.785838603973389,0.815729022026062,4.739787578582764,0.9864284992218018,4.949911117553711,0.9096158146858215
15,0.8992879986763,0.9927645921707153,2.3972082138061523,0.9564881920814514,2.179150104522705,1.0048457384109497,4.724186420440674,0.8593904972076416,4.603508472442627,0.9284266829490662,1.7209906578063965,1.0910601615905762,1.8096399307250977,1.0237077474594116,1.8555333614349365,1.0606918334960938,1.9110946655273438,1.045769453048706,0.7304391264915466,1.2072287797927856,0.7357054352760315,1.3791871070861816,0.8391864895820618,1.4073036909103394,1.9860045909881592,1.1915007829666138,4.282103538513184,0.834729790687561,4.66508150100708,0.7841330170631409,4.656846046447754,0.9568661451339722,4.754622459411621,0.7457692623138428
16,0.7834555506706238,1.058559536933899,2.230478048324585,0.9544211030006409,2.162510633468628,0.9143277406692505,4.390004634857178,0.8815884590148926,4.403973579406738,0.8718103170394897,1.6883751153945923,0.9550171494483948,1.7435442209243774,0.981071412563324,1.7508341073989868,1.1038131713867188,1.8151777982711792,0.9950969219207764,0.7263315916061401,1.3726754188537598,0.7039750814437866,1.2306981086730957,0.813025712966919,1.3993200063705444,1.7142869234085083,1.0423740148544312,4.097476005554199,0.698035478591919,4.52571964263916,0.8092986345291138,4.586306571960449,0.9154205322265625,4.6998162269592285,0.8449865579605103
17,0.7544291615486145,1.024066686630249,2.290644645690918,0.955564022064209,2.0707356929779053,0.9926307201385498,4.287041187286377,0.861082911491394,4.236712455749512,0.8480666279792786,1.6548850536346436,0.9638640284538269,1.5799949169158936,1.0210920572280884,1.6568690538406372,1.0341286659240723,1.631703495979309,1.0468956232070923,0.697384774684906,1.3013958930969238,0.676668107509613,1.292876958847046,0.7985948920249939,1.4347920417785645,1.6478301286697388,1.0644254684448242,4.082943916320801,0.7462933659553528,4.507625102996826,0.8003999590873718,4.521765232086182,1.019889235496521,4.540318489074707,0.80474853515625
18,0.6937258243560791,1.0555957555770874,2.232262372970581,0.8719798922538757,2.046445369720459,0.9735581278800964,4.261043548583984,0.8564327955245972,4.064493179321289,0.8880020976066589,1.5146700143814087,0.9630351066589355,1.558302402496338,1.0046019554138184,1.5996012687683105,1.0340608358383179,1.6203272342681885,1.0107423067092896,0.6871052980422974,1.3075854778289795,0.6562923192977905,1.3551424741744995,0.7668642997741699,1.4440748691558838,1.5534454584121704,1.0388312339782715,3.917996644973755,0.811505913734436,4.370477199554443,0.7171762585639954,4.37670373916626,0.9718253016471863,4.462303161621094,1.0294876098632812
19,0.6790100336074829,1.0876166820526123,2.077697515487671,0.9309888482093811,1.8886598348617554,1.0474735498428345,4.134042263031006,0.8914453387260437,4.0707573890686035,0.9204874038696289,1.430153489112854,0.9841610193252563,1.5588268041610718,0.9996940493583679,1.4465444087982178,1.0974971055984497,1.534905195236206,1.064271092414856,0.6742187738418579,1.2054510116577148,0.6309683918952942,1.4084616899490356,0.7485799193382263,1.4677352905273438,1.499884843826294,1.0582835674285889,3.873603343963623,0.8039127588272095,4.313429355621338,0.7639192938804626,4.324665546417236,0.9362094402313232,4.33712100982666,0.9065074324607849
20,0.6622002720832825,1.143953800201416,2.1428048610687256,0.9567049145698547,1.8830993175506592,0.9653167724609375,3.932068347930908,0.9009774327278137,3.7760169506073,0.8784276843070984,1.3651405572891235,1.017208218574524,1.378662109375,1.0232372283935547,1.4312533140182495,1.073806643486023,1.4440432786941528,1.0171723365783691,0.6511807441711426,1.351275086402893,0.6165826916694641,1.3323854207992554,0.7241330146789551,1.4263447523117065,1.4570183753967285,0.9988691806793213,3.7565362453460693,0.7062703371047974,4.142679214477539,0.8077840805053711,4.215829372406006,1.019008994102478,4.2197957038879395,0.8337774276733398
21,0.6429149508476257,1.095405101776123,2.014341354370117,0.9493310451507568,1.7117806673049927,1.001882791519165,3.9548330307006836,0.9170430898666382,3.4741010665893555,0.8492805361747742,1.3548970222473145,0.9666157960891724,1.3623360395431519,0.9782809019088745,1.3778564929962158,1.1167876720428467,1.4258966445922852,1.0098603963851929,0.6176851987838745,1.2257695198059082,0.6026107668876648,1.3324339389801025,0.7065625786781311,1.4898829460144043,1.4009028673171997,1.0842304229736328,3.68855357170105,0.8860326409339905,4.065297603607178,0.7475876212120056,4.081077575683594,0.8946613669395447,4.124187469482422,0.9466482400894165
