,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
139,0.19512115,0.39406973,0.42925388,0.46965894,0.59402657,0.3404199,0.32427275,0.34651032,0.470201,0.15199746,0.5162247,0.14641495,0.3097985,0.2567737,0.56700695,0.15192775,0.9237881,0.062212765,0.19737542,0.23562077,0.5315838,0.049322333,0.42371145,0.04879491,0.38721913,0.09602225,0.24826488,0.19780457,0.43965912,0.12827176,0.5684919,0.10441538
140,0.20530407,0.40325293,0.37115303,0.46261638,0.51323617,0.34152666,0.34002182,0.31600586,0.39516518,0.14294738,0.45427758,0.14811307,0.29246822,0.2538733,0.5385597,0.14830078,0.6379548,0.05092494,1.2555302,0.119046636,0.44302332,0.051261794,0.3431631,0.047972165,0.35620365,0.090990365,0.22828637,0.17775218,0.41208723,0.13448894,0.41476804,0.1279162
141,0.15769942,0.39540127,0.3587021,0.4843577,0.480105,0.35747567,0.3061312,0.33664122,0.4021184,0.1458488,0.37556416,0.15082777,0.28034914,0.26005536,0.45698172,0.15241632,0.5117713,0.05217963,0.90132236,0.12584794,0.46475688,0.048272487,0.37770316,0.050646193,0.3698754,0.08704513,0.27356702,0.17618579,0.4424385,0.11887856,0.4340493,0.118976116
142,0.16453947,0.4147497,0.33555096,0.49772796,0.41336402,0.31980368,0.25049073,0.35645184,0.36336178,0.14690672,0.43781307,0.14756174,0.24767083,0.25233403,0.36504406,0.16086219,0.455363,0.05152371,0.70185864,0.1296581,0.3844496,0.04820468,0.34222594,0.04759896,,,1.0307018,0.094820924,0.36096895,0.12113925,0.38048375,0.10642844
143,,,0.2970258,0.47553235,0.36490017,0.3766245,0.2656736,0.331472,0.36915758,0.14161505,0.30529252,0.15016648,0.2532951,0.27386782,0.40398246,0.15681219,0.41224217,0.052935984,0.5983615,0.11818474,0.3899484,0.050684813,0.34568527,0.04901291,,,0.7352201,0.09710765,0.39144614,0.10598581,0.36829248,0.10799994
144,,,0.29601067,0.48858583,0.3509966,0.33561683,0.25559822,0.33982235,0.32093906,0.14292167,0.30591536,0.14978574,0.22327329,0.26060346,0.32969776,0.16173229,0.4148569,0.05579856,0.5357463,0.12254245,0.3660538,0.051609397,0.28519976,0.04805034,,,0.54630786,0.09569638,0.33676335,0.11311121,0.36147702,0.12380228
145,,,0.2895494,0.49335718,0.3095993,0.35858792,0.22798742,0.3503861,0.32884273,0.15319286,0.31097585,0.1602462,0.25098315,0.25465202,0.34279457,0.1528328,0.38290316,0.051521808,0.4790751,0.12239565,0.337616,0.051870566,0.36262828,0.05190128,,,0.40690535,0.103313535,0.35147253,0.11773455,0.3548445,0.11869261
146,,,0.2365148,0.5295832,0.27401966,0.32187372,0.24635255,0.37132797,0.29898742,0.14433876,0.30604354,0.15034805,1.4866703,0.12389608,0.31221157,0.1565697,0.35913822,0.05162483,0.39773178,0.12847365,0.35261223,0.049779847,0.26205674,0.04768129,,,0.45000264,0.1149678,0.30952686,0.10489163,0.3719736,0.11854264
147,,,0.23405607,0.49709207,0.2812418,0.35789895,0.20793867,0.3326962,0.29287317,0.1507424,0.28116894,0.14900477,1.0123154,0.120024495,0.27699894,0.15479812,0.33303162,0.051747944,0.43058544,0.1168257,,,,,,,0.3942886,0.11077608,,,,
148,,,0.2660355,0.4806294,0.31616184,0.35637012,0.2557817,0.34530482,0.29884157,0.1460033,,,0.723136,0.12366767,0.27727482,0.16263291,0.3059973,0.05562532,0.3440318,0.12157261,,,,,,,0.391372,0.1024688,,,,
149,,,0.24798976,0.48277634,0.25660142,0.3442456,0.1905582,0.356952,,,,,0.63002354,0.12214541,,,0.28989628,0.052567795,0.34945855,0.1285281,,,,,,,0.32067746,0.09926342,,,,
150,,,0.2083274,0.5399742,0.25747606,0.3428326,0.22549853,0.38234806,,,,,0.5406521,0.12712383,,,0.3132104,0.054008424,0.32567507,0.1493319,,,,,,,0.3435936,0.115720935,,,,
151,,,,,0.24271186,0.33062294,,,,,,,0.45892516,0.12363804,,,,,0.3350326,0.1351264,,,,,,,0.29764545,0.10413801,,,,
152,,,,,0.25293064,0.34953266,,,,,,,0.41946125,0.12521929,,,,,0.29708982,0.12327684,,,,,,,0.3207461,0.10112129,,,,
153,,,,,,,,,,,,,0.41367665,0.13241969,,,,,0.31751785,0.12270061,,,,,,,,,,,,
154,,,,,,,,,,,,,0.36322397,0.13044201,,,,,0.27160168,0.1239454,,,,,,,,,,,,
155,,,,,,,,,,,,,0.38515493,0.12995815,,,,,0.2481997,0.13878953,,,,,,,,,,,,
156,,,,,,,,,,,,,0.34345058,0.14349978,,,,,0.2973201,0.12608765,,,,,,,,,,,,
157,,,,,,,,,,,,,0.33071503,0.12749724,,,,,0.29312772,0.12769021,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,0.8467283,0.05642843,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,0.6099679,0.05505626,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,0.48401132,0.056680787,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,0.40270314,0.055762712,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,0.37707,0.054522347,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,0.35773844,0.056365244,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,0.36790496,0.053250242,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,0.27602038,0.053201653,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,0.33822894,0.05338289,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,0.27295208,0.0532537,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,0.25122654,0.05835586,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,0.2659213,0.055761803,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,0.23735318,0.053001005,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,0.24977122,0.058096174,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,0.22256047,0.05793155,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,0.21072,0.05436185,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,0.21425994,0.053643662,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,0.18615758,0.054770663,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,0.1850082,0.059609823,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,0.18954352,0.05333306,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,0.20677361,0.058476526,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,0.1929917,0.056450427,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,0.18143162,0.06552105,,,,,,,,,,,,
