,temporal None PL train,temporal None PL val,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
2,0.7019881010055542,0.9735314249992371,1.7479901313781738,0.964637815952301,1.4008409976959229,0.9631584286689758,3.4157655239105225,0.9334250092506409,3.302009344100952,0.9661734700202942,1.814095139503479,0.9882655739784241,1.3540968894958496,0.938043475151062,2.4886317253112793,0.9576197266578674,2.2828001976013184,0.8974147439002991,2.576016902923584,0.8992087841033936,2.3199636936187744,0.9448338747024536,3.9591143131256104,1.1866801977157593,3.268676280975342,0.9533693790435791,5.378699779510498,1.034409999847412,5.282966613769531,0.9827856421470642,5.343114852905273,1.080254316329956,5.441093444824219,1.0627073049545288
3,0.6431324481964111,0.9708167314529419,1.9310364723205566,0.9546732902526855,1.4328068494796753,0.9967597723007202,4.5240936279296875,0.9156648516654968,3.1657044887542725,0.9257650971412659,1.8162868022918701,0.9360554814338684,1.3610399961471558,0.9028978943824768,2.2720205783843994,0.9194056391716003,2.610318183898926,0.8863859176635742,2.4505372047424316,0.8874149322509766,2.2972817420959473,0.939065158367157,3.07456636428833,0.8886083364486694,3.1523232460021973,0.9167466163635254,4.375511169433594,0.8152073621749878,4.12868595123291,1.025325894355774,4.672272682189941,0.9734011292457581,5.116374492645264,0.8833861351013184
4,1.1319079399108887,0.9690558314323425,1.7438546419143677,0.968682587146759,1.358540415763855,1.049404501914978,3.374269485473633,1.0758302211761475,2.990535020828247,0.9769147038459778,1.9307801723480225,0.9302297234535217,1.3113276958465576,0.93483966588974,2.2636559009552,0.8251554369926453,2.073061466217041,0.9973046183586121,2.3788747787475586,0.9097374081611633,2.201763153076172,0.9283545613288879,2.967346668243408,0.9650275111198425,3.254004955291748,0.8899462819099426,3.8276207447052,0.7445796728134155,3.9515419006347656,0.8213182091712952,4.081577301025391,1.0010366439819336,4.611292839050293,1.0498803853988647
5,0.631713330745697,0.9631842970848083,1.5495332479476929,0.9522954821586609,1.3375880718231201,0.943466305732727,2.9998292922973633,0.934710681438446,2.9816763401031494,0.9354411363601685,1.6410787105560303,0.9281473755836487,1.230240821838379,0.9349959492683411,2.1063389778137207,0.8431265950202942,1.983217716217041,0.8259363174438477,3.0895771980285645,0.8734707236289978,2.156367301940918,0.9105116128921509,2.9508538246154785,1.024708867073059,2.787600040435791,0.894112765789032,3.470240831375122,0.8572751879692078,3.4918365478515625,0.6869233250617981,3.5668280124664307,0.9181157350540161,4.0757060050964355,0.9229205846786499
6,0.7738773226737976,0.9869235754013062,1.6101698875427246,0.9578897356987,1.2891191244125366,0.9501801133155823,3.067857027053833,0.8808229565620422,3.0258710384368896,0.925586998462677,1.6501749753952026,0.9165852665901184,1.3427246809005737,0.900425136089325,2.0714805126190186,0.8720772862434387,1.7892910242080688,0.8268604874610901,2.186613082885742,0.9411253929138184,2.096475124359131,0.9061863422393799,3.0362584590911865,0.8941085338592529,2.8138487339019775,0.8812155723571777,2.929243803024292,0.6599678993225098,3.1367173194885254,0.6840775012969971,3.2680697441101074,0.8563770651817322,3.5168325901031494,0.810765266418457
7,0.6989450454711914,0.9566889405250549,1.661549687385559,0.96141117811203,1.336732029914856,0.9362403750419617,2.7472071647644043,0.8389466404914856,2.7832586765289307,1.0064435005187988,1.6363836526870728,0.9269448518753052,1.1397583484649658,1.0119439363479614,2.0129079818725586,0.7850578427314758,1.733069658279419,0.8164339661598206,2.1191351413726807,0.8547990918159485,2.1097962856292725,0.9070253372192383,2.558734178543091,1.0078686475753784,2.593264579772949,0.9391528367996216,2.7845265865325928,0.6201419234275818,2.7264060974121094,0.9565083980560303,2.9078593254089355,1.007761001586914,3.2915828227996826,0.7279438972473145
8,0.6015623211860657,2.870060443878174,1.5464482307434082,0.9414523243904114,1.2180122137069702,0.9207814931869507,2.5990982055664062,0.8661547303199768,2.84116268157959,0.9418075680732727,1.62812077999115,0.9039744138717651,1.080701231956482,0.9180210828781128,1.7963229417800903,0.8359951972961426,1.6539796590805054,0.7851419448852539,2.0757153034210205,0.9180154800415039,2.035895824432373,0.9027087092399597,2.593895673751831,0.8413808345794678,2.629218578338623,0.89914870262146,2.4549715518951416,0.5865416526794434,2.752772808074951,0.6362089514732361,2.8377134799957275,0.8434760570526123,3.006549119949341,0.7038960456848145
9,0.7405693531036377,0.9688432216644287,1.5203447341918945,0.9639484882354736,1.5125595331192017,0.8931597471237183,2.3811848163604736,0.84579998254776,2.7541403770446777,0.9148228764533997,1.6221743822097778,0.944654107093811,1.0562975406646729,0.87546706199646,1.6093348264694214,0.7489925622940063,1.6192779541015625,0.8027434945106506,2.014425039291382,0.8723821043968201,2.0585644245147705,0.9099284410476685,2.4627082347869873,0.816554069519043,2.514774799346924,0.8360106945037842,2.375465154647827,0.6985688209533691,2.423888921737671,0.5748721361160278,2.6132664680480957,0.7615693211555481,2.5944905281066895,0.7313708066940308
10,0.7150682806968689,0.9881919026374817,1.6541091203689575,0.9668065309524536,1.155542016029358,0.9358935356140137,2.237673044204712,0.824927568435669,2.7807321548461914,1.0329961776733398,1.5351797342300415,0.9051409363746643,1.0186201333999634,0.9062688946723938,1.6197834014892578,0.7136813998222351,1.4810386896133423,0.8002983331680298,1.9450266361236572,0.8607752323150635,1.9972807168960571,0.9095414280891418,2.318302631378174,0.8161913752555847,2.4435548782348633,0.8678674697875977,2.2844936847686768,0.7451915740966797,2.3869941234588623,0.6498388648033142,2.2652087211608887,0.8053542375564575,2.5185227394104004,0.8320536017417908
11,0.521040678024292,1.0119541883468628,1.4774714708328247,0.927699089050293,1.0910582542419434,0.9113329648971558,2.061647653579712,0.7280251979827881,2.72037935256958,0.8786917924880981,1.5447354316711426,0.9936723113059998,0.9418127536773682,0.9721342921257019,1.5588974952697754,0.7459995746612549,1.4674746990203857,0.8995599150657654,1.8505955934524536,0.7916614413261414,2.2376863956451416,0.9150167107582092,2.2061800956726074,0.8523796200752258,2.3008875846862793,0.7693812847137451,2.2631382942199707,0.6145273447036743,2.1221542358398438,0.6802058815956116,2.343888521194458,0.7129625082015991,2.2435483932495117,0.7617618441581726
12,0.532991886138916,0.9536608457565308,1.4341233968734741,0.9300479292869568,1.1071065664291382,0.9485011100769043,1.9863520860671997,0.7670403122901917,2.533597469329834,0.8703975081443787,1.5274827480316162,0.9071227312088013,0.8398218750953674,0.7749940156936646,1.5216889381408691,0.6775901913642883,1.4303925037384033,0.7509555816650391,1.7812154293060303,0.8554821610450745,1.942901849746704,0.8886715173721313,2.1887755393981934,0.8395391702651978,2.1444785594940186,0.7719751000404358,2.083477735519409,0.6154085993766785,2.13806414604187,0.5687417984008789,2.134791612625122,0.7456505298614502,2.0872695446014404,0.7216190695762634
13,0.5584200620651245,0.9553161263465881,1.5470589399337769,1.174798846244812,1.0070353746414185,0.9023091793060303,1.9082239866256714,0.769663393497467,2.4552724361419678,0.9802980422973633,1.511232614517212,0.9482448697090149,0.9199441075325012,0.8201664686203003,1.3054383993148804,0.7564478516578674,1.3392868041992188,0.7407951354980469,1.6495904922485352,0.9157893657684326,1.9368517398834229,0.8727577328681946,2.15423583984375,0.7960608005523682,1.9970030784606934,0.8090872764587402,1.8594496250152588,0.5755623579025269,1.883650302886963,0.6169800162315369,2.0629453659057617,0.6647990942001343,2.023334503173828,0.7292390465736389
14,0.48616600036621094,1.1428587436676025,1.5299317836761475,0.9532006978988647,0.9240772128105164,0.8581908345222473,1.7552263736724854,0.8297397494316101,2.488360643386841,0.8831924796104431,1.4871951341629028,0.8955339193344116,0.8368672728538513,0.9789938926696777,1.2112493515014648,0.753818154335022,1.2156672477722168,0.7274935841560364,1.509265422821045,0.78888338804245,1.798755168914795,0.8622901439666748,1.99431312084198,0.742448091506958,1.8781081438064575,0.7722187042236328,1.7808492183685303,0.5680878758430481,1.8924634456634521,0.5626826286315918,1.87415611743927,0.6982834935188293,1.89214026927948,0.6751844882965088
15,0.4972435534000397,1.023295521736145,1.4782812595367432,1.1479815244674683,0.8710011839866638,0.8654040098190308,1.6940171718597412,0.8058518171310425,2.5193233489990234,0.8655369281768799,1.4790794849395752,0.9538619518280029,0.7821449637413025,0.8431590795516968,1.2213133573532104,0.6654908061027527,1.1124857664108276,0.6885744333267212,1.459451675415039,0.7165745496749878,1.7577790021896362,0.8144583702087402,1.8690825700759888,0.7724658250808716,1.760396122932434,0.7702551484107971,1.747263789176941,0.5698000192642212,1.6793806552886963,0.5875242948532104,1.8790184259414673,1.2700287103652954,1.8756862878799438,0.7196473479270935
16,0.4561491310596466,1.2375950813293457,1.4904394149780273,0.9459880590438843,0.7743669152259827,0.8438039422035217,1.6146433353424072,0.7998673319816589,2.282329559326172,0.8020933270454407,1.4220744371414185,0.9053593873977661,0.8305829763412476,0.7670677900314331,1.1111433506011963,0.8158538341522217,1.034892201423645,0.726262092590332,1.4403526782989502,0.7524917125701904,1.692954421043396,0.7905710339546204,1.8776209354400635,0.8327311873435974,1.548370361328125,0.6748976111412048,1.597840666770935,0.5418292880058289,1.6525919437408447,0.5470033884048462,1.7539191246032715,0.6941881775856018,1.7105774879455566,0.7021130919456482
17,0.4842081367969513,0.9159168601036072,1.3894782066345215,1.1035302877426147,0.8257449865341187,0.9193224906921387,1.5407086610794067,0.7186209559440613,2.384188652038574,0.8940469026565552,1.4631117582321167,0.8991542458534241,0.7673750519752502,0.8639087080955505,1.1514989137649536,0.6806833148002625,1.0013567209243774,0.6885654926300049,1.321552038192749,0.699664831161499,1.535207748413086,0.7876103520393372,1.7786509990692139,0.7170422077178955,1.508139967918396,0.6939740180969238,1.5807870626449585,0.6731212735176086,1.589438796043396,0.6444821357727051,1.6806004047393799,0.7953448295593262,1.6113020181655884,0.6770809292793274
18,0.45687201619148254,1.0536448955535889,1.484994888305664,0.9244347214698792,0.7704354524612427,0.8216235041618347,1.4861897230148315,0.7908187508583069,2.181950569152832,0.8494177460670471,1.4270025491714478,0.9962885975837708,0.7116886973381042,0.8238222002983093,1.0146818161010742,0.7118796706199646,0.9200147390365601,0.7270059585571289,1.2104867696762085,0.729518711566925,1.4428426027297974,0.7577307820320129,1.7158839702606201,0.6878952980041504,1.3598501682281494,0.6601025462150574,1.5541930198669434,0.5406416654586792,1.5469425916671753,0.658799409866333,1.661489486694336,0.7245253324508667,1.5347148180007935,0.9447820782661438
19,0.43683651089668274,1.0383068323135376,1.329456090927124,0.9412533044815063,0.735978364944458,0.8523675799369812,1.4541634321212769,0.7166768908500671,2.0328595638275146,0.8410458564758301,1.3462004661560059,0.9594920873641968,0.6363524794578552,0.7927513718605042,0.9746562838554382,0.6471843719482422,0.8942670226097107,0.6833528876304626,1.1559966802597046,0.683857262134552,1.2834012508392334,0.72715824842453,1.6117959022521973,0.6744998693466187,1.4393787384033203,0.6365976929664612,1.4579719305038452,0.5608270168304443,1.4745548963546753,0.5681456923484802,1.507765531539917,0.8375308513641357,1.5134541988372803,0.7714154124259949
20,0.41744109988212585,1.0740985870361328,1.386488437652588,0.9378719329833984,0.6514951586723328,0.8709676861763,1.3613402843475342,0.7044870257377625,1.9246623516082764,0.8042529821395874,1.2950687408447266,0.9778385162353516,0.6283517479896545,0.7312041521072388,0.9760822057723999,0.6902952194213867,0.8307788372039795,0.7475420832633972,1.0875821113586426,0.8158673644065857,1.2537364959716797,0.784781813621521,1.6245644092559814,0.697949230670929,1.2815170288085938,0.6290684938430786,1.402651309967041,0.6435678005218506,1.281144618988037,0.5657174587249756,1.5510863065719604,0.8708586692810059,1.3835203647613525,0.842402458190918
