,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
3,0.5082821846008301,0.7378531098365784,3.668592929840088,0.49405643343925476,2.562370777130127,0.5348424911499023,7.332265377044678,0.28722256422042847,3.449357271194458,0.5374132990837097,1.1245955228805542,0.7964937686920166,0.9658088684082031,0.7385391592979431,1.178446888923645,0.7528126835823059,1.2164063453674316,0.76244056224823,0.2589534521102905,1.2740830183029175,0.24162372946739197,1.380923867225647,0.2643914818763733,1.291218638420105,0.26524150371551514,1.5011732578277588,5.310063362121582,0.5431968569755554,5.53170919418335,0.4315800368785858,5.393574237823486,0.5468860864639282,5.3931708335876465,0.5730352401733398
4,0.44962620735168457,0.8256065845489502,3.105006456375122,0.5086973905563354,2.00821590423584,0.5128394961357117,6.824230670928955,0.2772826552391052,3.0008254051208496,0.4783022999763489,0.9403367638587952,0.7455209493637085,0.841909646987915,0.8035927414894104,1.0220640897750854,0.6754999756813049,1.1200660467147827,0.8261722922325134,0.2315213829278946,1.1789970397949219,0.22336573898792267,1.276686191558838,0.2480154186487198,1.2264901399612427,0.24527670443058014,1.392351746559143,5.0519118309021,0.5718891024589539,5.07145357131958,0.5192020535469055,4.750304222106934,0.5473672151565552,5.01383638381958,0.4520840048789978
5,0.4238766133785248,0.7480757832527161,2.72375750541687,0.4616151750087738,1.9089524745941162,0.4979848563671112,6.718170642852783,0.28052371740341187,2.7826716899871826,0.692951500415802,0.9924569129943848,0.7621933817863464,0.7169270515441895,0.687193751335144,0.8916969895362854,0.7975327372550964,1.026295781135559,0.7000970840454102,0.21843621134757996,1.232458233833313,0.20517069101333618,1.090248703956604,0.22486768662929535,1.1335179805755615,0.22346988320350647,1.434372067451477,4.868509769439697,0.38787031173706055,4.888012409210205,0.3738195300102234,4.480732440948486,0.3925092816352844,4.828975200653076,0.5692106485366821
6,0.3477088510990143,0.9497897028923035,2.6074910163879395,0.47343751788139343,1.7068207263946533,0.4936501681804657,6.523189544677734,0.2770145833492279,2.617637872695923,0.5235244035720825,0.898774266242981,0.7057915329933167,0.676846444606781,0.7289382219314575,0.7826830744743347,0.6370904445648193,0.8686545491218567,0.6265324354171753,0.19878360629081726,1.3420994281768799,0.19134610891342163,1.1571629047393799,0.21221189200878143,1.1878201961517334,0.21435017883777618,1.3915367126464844,4.645010471343994,0.3901793956756592,4.579677581787109,0.42507073283195496,4.4850993156433105,0.4833964705467224,4.519367218017578,0.5111619830131531
7,0.3450043201446533,0.8201805949211121,2.6532161235809326,0.46250301599502563,1.6525378227233887,0.48968270421028137,6.040562152862549,0.2866789698600769,2.321481704711914,0.5124823451042175,0.8436980247497559,0.7644305229187012,0.6192913055419922,0.6478912830352783,0.6952129006385803,0.6319597959518433,0.7671337127685547,0.6079642176628113,0.1954907774925232,1.2791941165924072,0.17602457106113434,0.9385608434677124,0.1968221366405487,1.5378767251968384,0.19675429165363312,1.463747501373291,4.363147258758545,0.4424613416194916,4.374220371246338,0.3381486237049103,4.229894638061523,0.5158762335777283,4.323300838470459,0.4853088855743408
8,0.3098331093788147,0.8136828541755676,2.4780113697052,0.46411237120628357,1.4912828207015991,0.5416675806045532,5.479959011077881,0.28739166259765625,2.1524930000305176,0.513615071773529,0.739836573600769,0.7304419279098511,0.6042743921279907,0.6667003035545349,0.6760450601577759,0.6851610541343689,0.6902573108673096,0.6020113825798035,0.18384046852588654,1.1444681882858276,0.16891716420650482,1.0736368894577026,0.18695543706417084,1.2310320138931274,0.18502940237522125,1.3296008110046387,4.2836809158325195,0.43295395374298096,4.1423659324646,0.5102555155754089,3.9170451164245605,0.5449444055557251,4.15187406539917,0.45356684923171997
9,0.2869478464126587,0.7782376408576965,2.4046032428741455,0.4975251853466034,1.432375431060791,0.6582447290420532,5.243316650390625,0.27933502197265625,1.981873869895935,0.5144303441047668,0.7478658556938171,0.6924228072166443,0.5055587291717529,0.7052648067474365,0.5990810990333557,0.6165889501571655,0.5759050846099854,0.6032395958900452,0.1702478975057602,1.2374804019927979,0.1585722416639328,1.0295490026474,0.17564556002616882,2.0203099250793457,0.17619965970516205,1.4444971084594727,3.9540679454803467,0.5613898634910583,3.957853317260742,0.40442413091659546,3.797694683074951,0.5754489898681641,3.9424149990081787,0.6111361384391785
10,0.2843244969844818,0.7077815532684326,2.2170493602752686,0.45458659529685974,1.3437830209732056,0.47684246301651,4.753020286560059,0.2852502763271332,1.8148667812347412,0.5071814060211182,0.6662608981132507,0.640864372253418,0.49077698588371277,0.7255381345748901,0.5743079781532288,0.6720808744430542,0.631520688533783,0.6173948645591736,0.1625840961933136,1.2433288097381592,0.15231570601463318,0.9165990352630615,0.17865175008773804,1.3967740535736084,0.16304133832454681,1.3521974086761475,3.8531494140625,0.5312972068786621,3.7924845218658447,0.3894326388835907,3.7599589824676514,0.3849833011627197,3.908719539642334,0.6108447909355164
11,0.24265384674072266,0.786363959312439,2.0258736610412598,0.45198267698287964,1.2334132194519043,0.4824531674385071,4.4969940185546875,0.29294246435165405,1.7190190553665161,0.46318766474723816,0.5826581120491028,0.7452688217163086,0.4689006507396698,0.6864074468612671,0.5087518095970154,0.6554171442985535,0.5032240748405457,0.6205739974975586,0.15820170938968658,1.2741695642471313,0.14518694579601288,1.0063776969909668,0.1549849659204483,1.7135659456253052,0.15563131868839264,1.4052331447601318,3.636108875274658,0.3739410936832428,3.5016796588897705,0.47221383452415466,3.519505023956299,0.4726501703262329,3.7501492500305176,0.552662193775177
12,0.21349944174289703,0.8471100330352783,1.9000554084777832,0.44138216972351074,1.137607216835022,0.5115920305252075,4.298919200897217,0.39584609866142273,1.6620947122573853,0.5003814697265625,0.5657366514205933,0.6648104786872864,0.46914467215538025,0.7056121826171875,0.4721924066543579,0.700771152973175,0.5083118677139282,0.6112000346183777,0.14628049731254578,1.4421367645263672,0.1400822401046753,0.9888547658920288,0.15533919632434845,3.3218564987182617,0.15594403445720673,1.393886685371399,3.432389497756958,0.4264092445373535,3.5198848247528076,0.4020410180091858,3.404110908508301,0.4383658170700073,3.6623377799987793,0.5235933065414429
