,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
17,0.5980117917060852,1.1471800804138184,1.5579733848571777,0.9163639545440674,2.466679334640503,0.908896803855896,2.707207202911377,1.0302634239196777,3.184682846069336,0.9665672183036804,1.2339245080947876,0.9826743602752686,1.573585867881775,0.9304328560829163,1.5754821300506592,0.9458200335502625,1.6169097423553467,0.9422829151153564,0.9941855669021606,1.1734529733657837,1.1263147592544556,1.0586832761764526,1.094401240348816,1.2834010124206543,1.1798030138015747,1.1674174070358276,1.9279873371124268,1.1176360845565796,2.9552605152130127,1.2465604543685913,3.6215522289276123,0.9130354523658752,4.046602725982666,1.0096663236618042
18,0.6004487872123718,1.1533381938934326,1.5762253999710083,0.956139862537384,2.3007137775421143,0.8861758708953857,2.6154656410217285,0.9319124221801758,3.3403196334838867,0.9061210751533508,1.205885410308838,0.9924201965332031,1.563328742980957,0.9764470458030701,1.5127012729644775,0.95070481300354,1.556035041809082,0.9426003694534302,0.9620593190193176,1.1522555351257324,1.07884681224823,1.1207365989685059,1.0748181343078613,1.083032250404358,1.1586835384368896,1.1679702997207642,1.84559166431427,1.2600833177566528,3.0679047107696533,0.8602151274681091,3.456162691116333,0.9502769708633423,3.9766573905944824,0.9484084248542786
19,0.5372116565704346,1.1789220571517944,1.4065299034118652,0.931420087814331,2.315920352935791,0.9418445825576782,2.4633586406707764,1.0667487382888794,3.0810387134552,0.9515042304992676,1.1024236679077148,1.0488343238830566,1.4903032779693604,0.9376893043518066,1.409773349761963,0.9612764120101929,1.51093327999115,0.9030951857566833,0.8789849877357483,1.1635353565216064,1.0232490301132202,1.1341415643692017,1.0483582019805908,1.1481199264526367,1.1242064237594604,1.0969736576080322,1.8173933029174805,1.259460210800171,2.611567974090576,0.8051864504814148,3.4254393577575684,1.0333681106567383,3.8286020755767822,1.1757031679153442
20,0.5338037014007568,1.2134618759155273,1.3735193014144897,0.9281330108642578,2.2046475410461426,0.9464619755744934,2.4255945682525635,1.0282862186431885,4.108500003814697,0.6618692874908447,1.146192193031311,1.0166020393371582,1.362173318862915,1.0335416793823242,3.166630268096924,0.7084817290306091,1.4134738445281982,0.9625452756881714,0.8967592120170593,1.1536771059036255,0.9622700810432434,1.1585687398910522,1.015411138534546,1.1346336603164673,1.0845378637313843,1.1300415992736816,1.775433897972107,1.1114327907562256,2.4097847938537598,0.7190736532211304,3.34938907623291,0.998702347278595,3.7100422382354736,1.0903102159500122
21,0.5295124053955078,1.128474473953247,1.2967798709869385,0.9585387706756592,2.104074478149414,0.881690502166748,2.2214977741241455,1.0553265810012817,3.2591888904571533,0.6245827674865723,1.0553618669509888,1.0350449085235596,1.2982542514801025,0.9640987515449524,2.6843342781066895,0.7235803008079529,1.3774819374084473,0.9376562237739563,0.8288266658782959,1.195945382118225,0.9302668571472168,1.1095685958862305,0.9401978254318237,1.1800557374954224,1.0241758823394775,1.128798484802246,1.6556286811828613,1.148545265197754,2.2432820796966553,0.7341403365135193,2.718316078186035,0.9044688940048218,3.6214041709899902,1.1770416498184204
22,0.4861149787902832,1.1780807971954346,1.2337255477905273,0.9857016205787659,2.049123525619507,0.9194088578224182,4.284305572509766,0.632398784160614,2.9881043434143066,0.6282605528831482,2.407637357711792,0.8475157022476196,1.2360475063323975,0.9924845695495605,2.414537191390991,0.7151284217834473,1.3519573211669922,0.9246490001678467,0.8430728316307068,1.1684603691101074,0.8832194209098816,1.0792232751846313,0.8924921154975891,1.139721393585205,1.0014933347702026,1.2009508609771729,1.6593937873840332,1.1454672813415527,2.093334436416626,0.9257852435112,2.305436372756958,0.9829224348068237,3.4772934913635254,1.1194478273391724
23,1.102939248085022,1.1041020154953003,1.2092573642730713,0.9448971748352051,1.9437850713729858,0.9365904331207275,3.3644134998321533,0.6031435132026672,2.695420742034912,0.584730327129364,2.0166661739349365,0.8352263569831848,1.1915922164916992,0.9923188090324402,2.0787229537963867,0.7239251732826233,1.3232148885726929,0.9732866883277893,0.7552306652069092,1.222400188446045,0.8794912695884705,1.1650078296661377,0.8882074356079102,1.1895726919174194,0.961154580116272,1.1505719423294067,2.603849411010742,1.0136642456054688,1.9456404447555542,0.7872852087020874,2.1631579399108887,0.676325798034668,3.2994861602783203,1.0903513431549072
24,0.9321750402450562,0.9990397095680237,1.1174105405807495,0.9376410841941833,1.9130586385726929,0.8826049566268921,3.14798641204834,0.5996171832084656,2.439228057861328,0.6191375851631165,1.7593352794647217,0.8321037292480469,1.1517481803894043,0.9762599468231201,1.9165277481079102,0.7256422638893127,1.1845030784606934,0.9632494449615479,0.7451820969581604,1.2065755128860474,0.8299080729484558,1.0805861949920654,0.8867676258087158,1.1861886978149414,0.9216253161430359,1.1171987056732178,2.104508876800537,0.8290951251983643,1.9097598791122437,0.757101833820343,2.0389139652252197,0.7066483497619629,3.322929859161377,1.1123709678649902
25,0.7665796875953674,1.0013689994812012,1.17185378074646,0.9918464422225952,3.335951089859009,0.6972854137420654,2.7985036373138428,0.6008006930351257,2.33381724357605,0.6134713292121887,1.5732989311218262,0.816073477268219,1.0432202816009521,1.0748100280761719,1.8200892210006714,0.7069429755210876,1.1944326162338257,0.9380646347999573,4.743888854980469,0.7705382704734802,0.8277658224105835,1.1447027921676636,0.8145915865898132,1.1453027725219727,0.9035660624504089,1.1592612266540527,1.9034496545791626,0.8361215591430664,1.8141183853149414,0.748439371585846,1.9240227937698364,0.7962963581085205,3.20993709564209,0.9222099184989929
26,0.6629053950309753,1.0939818620681763,1.1188828945159912,0.9713596701622009,2.7572133541107178,0.67995685338974,2.582371473312378,0.5986121296882629,2.0728037357330322,0.5937890410423279,1.3991577625274658,0.8459712266921997,1.1047993898391724,0.9971761703491211,1.687948226928711,0.6836560368537903,1.1227264404296875,0.9439821243286133,3.8825676441192627,0.6910116076469421,0.7842012643814087,1.1589064598083496,0.8080770373344421,1.1898136138916016,0.861673891544342,1.1370651721954346,1.74139404296875,0.8945662379264832,1.8125410079956055,0.7742910981178284,1.791930079460144,0.764933705329895,2.122976303100586,0.6910513639450073
