,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,random spatio-temporal X_st rnd d_c train,random spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,random spatio-temporal X_st min d_c train,random spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,random spatio-temporal X_st max d_c train,random spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,random spatio-temporal X_st avg d_c train,random spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","random spatio-temporal X_(t,s) rnd d_c train","random spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","random spatio-temporal X_(t,s) min d_c train","random spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","random spatio-temporal X_(t,s) max d_c train","random spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","random spatio-temporal X_(t,s) avg d_c train","random spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","random spatio-temporal Y_hat_(t,s) rnd d_c train","random spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","random spatio-temporal Y_hat_(t,s) min d_c train","random spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","random spatio-temporal Y_hat_(t,s) max d_c train","random spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","random spatio-temporal Y_hat_(t,s) avg d_c train","random spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","random spatio-temporal Y_(t,s) rnd d_c train","random spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","random spatio-temporal Y_(t,s) min d_c train","random spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","random spatio-temporal Y_(t,s) max d_c train","random spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val","random spatio-temporal Y_(t,s) avg d_c train","random spatio-temporal Y_(t,s) avg d_c val"
7,0.36169735,0.3474325,0.33999807,0.33874887,0.3721394,0.36973268,0.36593273,0.3484167,0.42452878,0.4028773,0.3345713,0.36110038,0.41980463,0.39481205,0.34731326,0.35914245,0.44764,0.33588967,0.43214598,0.3359573,0.4347591,0.347262,0.45658168,0.3323205,0.39379853,0.35622436,0.5091074,0.3428857,0.38044623,0.3685057,0.4844789,0.34745234,0.43288544,0.3654692,0.6173738,5.4716973,0.4223439,5.877309,0.6490198,0.31270236,0.447518,2.3851748,0.5877121,0.34684867,0.37299037,0.40998405,0.54484904,0.34026164,1.8035188,0.39586732,0.5546911,0.34503233,1.7994779,0.49534458,0.54708236,0.3237406,1.8345078,0.68424153,0.5600379,0.35752454,1.7972038,0.5519259,0.5834644,0.35361272
8,0.3511107,0.35976937,0.3089263,0.33298117,0.38659388,0.3785713,0.34927952,0.3461731,0.40635818,0.405827,0.33279598,0.38233268,0.40541047,0.4065522,0.32909873,0.3491742,0.4288671,0.34333098,0.38003466,0.3514842,0.3999779,0.33754978,0.4300279,0.3345031,0.38396695,0.3620669,0.4942565,0.34658936,0.36178958,0.35456803,0.4732403,0.3440946,0.4516797,0.3482026,0.5810203,7.1292386,0.41743708,8.539252,0.5978357,0.3129426,0.41866657,1.0300267,0.56758183,0.33724952,0.3835355,1.048759,0.5157335,0.3424191,1.6677662,0.29092795,0.5225033,0.37191042,1.6610019,0.68559873,0.53378826,0.33068338,1.7229502,0.72705287,0.54466,0.3752315,1.6818775,0.7451114,0.5784067,0.3447995
9,0.35814553,0.3525869,0.3098874,0.3357186,0.35982952,0.4086086,0.35857505,0.34755892,0.3958181,0.41446894,0.30746913,0.3656156,0.42691734,0.39288503,0.32916623,0.3470582,0.42046642,0.3503843,0.4043184,0.35922366,0.42009422,0.34918362,0.42782116,0.36359864,0.38056222,0.35725567,0.46238238,0.3663325,0.36266303,0.3460886,0.46518227,0.33253855,0.41110924,0.3436468,0.54881126,6.540882,0.3743214,3.345617,0.55884296,0.3259007,0.4232041,2.0166576,0.541351,0.32682696,0.38788596,0.63478905,0.49040037,0.3426579,1.6221719,0.329405,0.4903545,0.35155383,1.6231816,0.43436038,0.50411,0.31325677,1.6334618,0.68632925,0.5198721,0.338269,1.5834292,0.53810745,0.5436481,0.3462098
10,0.33543563,0.3507472,0.3090476,0.37627083,0.36295858,0.38761568,0.3367314,0.34393707,0.46521348,0.41965142,0.29206094,0.36927968,0.3896138,0.41395265,0.32276648,0.3459895,0.40748268,0.33759862,0.3636819,0.33361778,0.3991191,0.35242084,0.41001922,0.3266506,0.38371292,0.3781242,0.48065367,0.33494538,0.3547637,0.3591181,0.43153495,0.34934586,0.3858972,0.37894672,0.5225483,6.7420716,0.3911199,2.4161623,0.5340122,0.30710778,0.41815352,0.97239715,0.5199615,0.32497212,0.36918828,0.3533214,0.48127487,0.3199606,1.5347435,0.37760308,0.54953694,0.32155338,1.5223422,0.95864546,0.48330083,0.3230222,1.548402,0.92790014,0.505129,0.34008154,1.5473933,0.5393157,0.5245556,0.3463705
11,0.34103695,0.34170592,0.30638543,0.36435115,0.3438779,0.38209233,0.33814043,0.3394213,0.38422266,0.39442676,0.29779896,0.37154514,0.39407268,0.40072155,0.29990143,0.40498587,0.40860564,0.33937377,0.3734303,0.3642739,0.39844617,0.34318864,0.39252728,0.327909,0.37780157,0.35276443,0.43127108,0.32713974,0.34455884,0.34058473,0.42380062,0.35716438,0.40208715,0.34049624,0.50867295,3.1914184,0.39355615,11.566434,0.5347674,0.31104106,0.41072267,1.3932636,0.50951916,0.330729,0.35136822,1.0734403,0.46914798,0.3032755,1.4630334,0.3336841,0.44814768,0.3334737,1.4737095,0.502161,0.45465136,0.30205342,1.4777274,0.676714,0.48116058,0.34066862,1.4469529,0.52181345,0.5101893,0.3285012
12,0.3315006,0.33993685,0.29773018,0.3317669,0.32667065,0.3742468,0.31842124,0.39551052,0.38385436,0.39600447,0.293613,0.35893324,0.37936187,0.39537522,0.28882453,0.35590446,0.40881237,0.34688747,0.35577407,0.3283255,0.38254994,0.34159565,0.37907818,0.31972685,0.37472695,0.36231872,0.41313273,0.39492658,0.33961216,0.3470529,0.40957075,0.373107,0.39447507,0.36621535,0.48479083,1.7112238,2.5896323,0.28175285,0.48927584,0.3111446,0.39559898,3.9894364,0.48667485,0.32151908,0.3558318,0.39388978,0.44711673,0.30277392,1.4009886,0.32472384,0.43035254,0.3344359,1.4121304,1.321309,0.45278054,0.32700777,1.4458624,0.7556576,0.44932255,0.35639518,1.4178654,0.48057276,0.47322264,0.3631108
13,0.30999437,0.35024324,0.30226701,0.32766148,0.29454198,0.37341288,0.30917707,0.33855224,0.40116277,0.39099747,0.27551326,0.37355068,0.3593667,0.39670315,0.2822849,0.3510616,0.38540196,0.33867553,0.3312774,0.33721492,0.37609357,0.34377643,0.37433258,0.31855875,0.39815265,0.3578152,0.40122238,0.31327933,0.33737525,0.3531958,0.37997857,0.3411051,0.38450915,0.3417835,0.48033187,3.516203,1.0946283,0.28037947,0.48095563,0.29426563,0.39170536,2.3389213,0.45971006,0.3393557,0.35567048,0.39976344,0.4156274,0.32673985,1.3526808,0.3875597,0.42176527,0.33370337,1.3631506,1.0598973,0.42851582,0.32304427,1.3795947,0.8687748,0.44424838,0.3626705,0.8819123,0.4193003,0.45831937,0.35938257
14,0.3109932,0.36320317,0.28322744,0.3412326,0.29911065,0.37048674,0.30720064,0.3542788,0.35500693,0.4066706,0.2785616,0.358162,0.37316397,0.40203255,0.26450118,0.3572822,0.37956002,0.33219275,0.3323076,0.3379241,0.37725297,0.33420005,0.3624692,0.3389121,0.35188267,0.37150997,0.379789,0.3140629,0.32738864,0.34872398,0.35697764,0.3274096,0.3686862,0.3439682,0.48950905,1.6416833,1.0591186,0.27312627,0.44511625,0.36665443,0.37491605,0.74265516,0.45100915,0.30433443,0.34279704,0.35163286,0.41643372,0.3199622,1.3124981,0.3258868,0.3805512,0.3616627,0.9400499,0.51840556,0.40476894,0.3943746,1.3267432,0.9265977,0.4183982,0.33383185,0.7826396,0.35824805,0.45727003,0.3269731
15,0.3028797,0.33421975,0.2638029,0.3411365,0.2639546,0.3568496,0.31348994,0.3419319,0.34330046,0.4065792,0.25648713,0.3833072,0.36280218,0.4129913,0.25999397,0.334131,0.36748156,0.33687466,0.31938392,0.32313567,0.35829556,0.3413606,0.346784,0.32568574,0.36368513,0.34704322,0.35338476,0.33196378,0.31822148,0.3446665,0.34288722,0.33049268,0.3588734,0.35921285,0.46147606,3.8610368,0.9672972,0.26998895,0.4314726,0.32344028,0.38091603,1.2003801,0.4123425,0.42271432,0.33095962,0.3511244,0.37574226,0.3000347,1.2381128,0.36803526,0.38059396,0.31820053,0.8440051,0.42325094,0.41748133,0.31205338,1.2854766,0.84004915,0.41237274,0.3464269,0.7301323,0.33536664,0.41639826,0.35260198
16,0.29300395,0.35496634,0.24487475,0.47921777,0.276343,0.36694908,0.3107599,0.3510152,0.33071035,0.40295923,0.24724925,0.40381232,0.33464614,0.4155817,0.2536531,0.34159896,0.36842814,0.4054259,0.3002687,0.35217595,0.35107222,0.3610477,0.3192011,0.32407403,0.3451222,0.34891966,0.3478771,0.32442838,0.32308683,0.34966877,0.33748794,0.34638426,0.351111,0.36896557,0.40561,6.8492713,0.9247782,0.2601508,0.4072997,0.30418846,0.9602887,0.29151592,0.41783845,0.31242234,0.33609205,0.48761928,0.3820983,0.32564336,1.2297297,0.36342776,0.37616542,0.3592294,0.78410286,1.9326711,0.38833496,0.3188239,1.233344,0.9271618,0.40096506,0.34539562,0.6967548,0.35049877,0.40942684,0.40404624
17,0.2772897,0.34715113,0.24901198,0.32361376,0.2640546,0.35291013,0.29132834,0.34988445,0.33378038,0.40355793,0.24148594,0.38997272,0.4296533,0.38874018,0.24632707,0.3381198,0.35364065,0.35666874,0.28680065,0.34140292,0.35070845,0.3377061,0.31221512,0.3377891,0.34090647,0.35585263,0.3433846,0.31559214,0.30793384,0.34905875,0.3202821,0.3177697,0.3602279,0.35260957,0.4963476,0.96674585,0.84518576,0.2554759,0.4132718,0.31670982,0.880103,0.29266223,0.39334878,0.30676597,0.33038658,0.71939796,0.37289077,0.3054193,1.2000395,0.35375187,0.34041113,0.307143,0.7439421,2.676017,0.37478685,0.35660136,0.84688014,0.525105,0.38529772,0.4043067,0.66675794,0.2553219,0.40200636,0.33227515
18,0.26417214,0.33864704,0.24078758,0.3248631,0.26798928,0.38326418,0.27566785,0.3481906,0.31811538,0.3926748,0.2486036,0.36272198,0.38114727,0.40245602,0.24454504,0.3378877,0.35476783,0.3600741,0.2785507,0.34147698,0.356153,0.34662396,0.29400074,0.33260587,0.33483452,0.34880573,0.33182827,0.34144923,0.297241,0.3671303,0.30562654,0.32910356,0.34019768,0.34810105,0.44692543,0.87649304,0.79713756,0.259201,0.3934027,0.30386296,0.80872744,0.28618604,0.3763041,0.33769488,0.31020117,0.3581582,0.35656598,0.29615793,1.1362267,0.35398564,0.33021957,0.33706498,0.7103943,1.8655357,0.36401916,0.31141236,0.7571562,0.4533762,0.38531688,0.32726374,0.63167536,0.26766878,0.36659217,0.35379103
19,0.24974705,0.358068,0.2272206,0.3345981,0.24912882,0.3682003,0.28949344,0.3306488,0.31193173,0.39732245,0.24307822,0.36863145,0.3826051,0.38716382,0.2211462,0.36387658,0.34987912,0.33629867,0.26225165,0.33551675,0.34548545,0.33971462,0.29633832,0.3265405,0.3285545,0.35396993,0.31539738,0.3215075,0.29846385,0.3748512,0.29352415,0.31832483,0.32068518,0.37371373,0.39648253,1.0809236,0.7282147,0.2539719,0.3720141,0.30297968,0.77067757,0.30538067,0.37106687,0.32541895,0.3305439,0.5776493,0.34326637,0.3654889,0.8478917,0.23263171,0.32479063,0.32987005,0.6952736,1.6017867,0.33493662,0.3435586,0.68363076,0.4532805,0.34393725,0.3515715,0.6036927,0.33432004,0.3785865,0.35258418
20,0.23725434,0.3527863,0.2273375,0.32987207,0.23242752,0.3761057,0.26143062,0.33616778,0.2976602,0.39303878,0.21165974,0.37653777,0.35893875,0.39750507,0.22343282,0.3502074,0.34753767,0.38580486,0.26239252,0.37084186,0.33037907,0.34959608,0.2676199,0.34667602,0.3302464,0.355089,0.3102,0.35516486,0.27338555,0.37812063,0.28022,0.32223284,0.33191457,0.3553652,0.39582318,0.7834023,0.72109485,0.25257915,0.365309,0.30115664,0.7386896,0.29370546,0.34867194,0.31641653,0.30405083,0.7336367,0.337867,0.31227767,0.7553595,0.20958719,0.3042073,0.3543284,0.6617649,2.1503086,0.34020683,0.32042477,0.6636344,0.41349852,0.3333322,0.35028827,0.5883036,0.34803107,0.35240415,0.3857847
21,0.23845215,0.37060234,0.22750753,0.3274394,0.23622483,0.37401,0.26737514,0.35491115,0.28383774,0.40895894,0.21259223,0.37366256,0.3287233,0.39214948,0.19969283,0.3464975,0.33118486,0.34801793,0.2597435,0.32987845,0.33094472,0.3501382,0.26840422,0.32100898,0.31928164,0.36027828,0.29938135,0.36233348,0.28813142,0.393345,0.2601681,0.31630445,0.3224492,0.36896917,0.3666403,0.8985791,0.6790636,0.2411803,0.33382887,0.34996644,0.69746125,0.2910376,0.32572877,0.33627984,0.30730978,0.6212231,0.32236597,0.32749477,0.70580465,0.22336327,0.30002952,0.3286766,0.65240157,2.121208,0.3180488,0.35583764,0.6165293,0.3881581,0.32577813,0.34983653,0.5711213,0.26311556,0.34476757,0.3712588
22,0.23062044,0.33893442,0.20941599,0.34350753,0.22030388,0.4473767,0.2373865,0.4557907,0.3046621,0.4161906,0.23001486,0.36067253,0.324656,0.39572102,0.20017391,0.3816995,0.33184174,0.3440089,0.24012446,0.34081858,0.31993857,0.34225187,0.25759503,0.33048943,0.31466895,0.34825817,0.2800217,0.3481059,0.28335333,0.35847443,0.25924283,0.32976547,1.6005412,0.24649723,0.34731066,2.6958098,0.6573986,0.25009784,0.34819496,0.31647328,0.65848434,0.30532268,0.32257167,0.35315993,0.30207285,1.0033591,0.32285383,0.31330988,0.672547,0.2293161,0.28949758,0.33125612,0.62377995,3.07969,0.5757508,0.26663473,0.60306334,0.3916171,0.30610394,0.35248542,0.5482077,0.36084116,0.32679245,0.3326444
23,0.21784204,0.3707404,0.20616762,0.35086405,0.21324007,0.3840236,0.25577462,0.34054443,0.26774427,0.40563998,0.19736382,0.3690654,0.3185819,0.38511288,0.19093809,0.33883706,0.3215357,0.3567362,0.21973483,0.34383103,0.3241105,0.33501744,0.25198084,0.3292208,0.31269693,0.35499924,0.26687065,0.33814362,0.25750247,0.3436409,0.2524972,0.31268165,1.2900785,0.23971458,0.3432618,2.66169,0.6057227,0.24694304,0.33408782,0.29633528,0.6390383,0.3007236,0.31394756,0.31729507,0.27586603,0.9202691,0.29814157,0.3065439,0.62829256,0.2032843,0.28101206,0.33776963,0.6076526,4.1909738,0.4839459,0.26815432,0.5663096,0.4620587,0.30096763,0.4128238,0.51511526,0.33814642,0.3246365,0.38038582
24,0.20788942,0.34712234,0.2172858,0.3541885,0.22593296,0.3503864,0.22147803,0.35289067,0.36520198,0.3898298,0.18975504,0.38712004,0.31307387,0.39269075,0.18431577,0.3619406,0.3034509,0.3900678,0.22867617,0.3319308,0.3209679,0.34629,0.47907168,0.29044712,0.30372998,0.35452658,0.5434756,0.28462487,0.23837511,0.34916183,0.26180246,0.3188351,1.1408747,0.2965007,0.31622574,1.8284664,0.6007101,0.25980392,0.5176133,0.286009,0.57855165,0.2851039,0.30927384,0.30721202,0.298079,0.5838831,0.30256006,0.32503355,0.60334617,0.2712162,0.2789103,0.31749156,0.57884026,3.3233678,0.43463916,0.27321008,0.5484798,0.39183372,0.2803068,0.37531814,0.50908667,0.36085293,0.2972185,0.34979272
25,0.19669244,0.3701835,0.19732252,0.32471505,0.20462748,0.36795852,0.22181879,0.35895345,0.32608885,0.3892565,0.27057067,0.36986652,0.28697023,0.3931225,0.17641343,0.3784315,0.28300306,0.3365199,0.20781928,0.34530678,0.28182307,0.3395394,0.4043733,0.28861833,0.29134598,0.35860813,0.4540698,0.27491203,0.22104478,0.3300286,0.23643012,0.33827445,1.0334437,0.2248966,0.31589898,2.1831508,0.59486705,0.2406728,0.43322808,0.26368713,0.5546007,0.2843527,0.57052755,0.2780664,0.27918953,0.6332317,0.2887262,0.31673986,0.5863474,0.20260267,0.25409618,0.3483285,0.56535524,3.8702133,0.42176527,0.27474487,0.5149104,0.34693503,0.2776778,0.37129328,0.49834627,0.42180368,0.54308736,0.29154116
