,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
60,0.6447853,0.8389127,0.93474376,0.8247524,0.62057966,0.9151983,0.6138769,0.9199564,1.0571179,0.7207511,1.0043304,0.74963814,0.6491952,0.7830074,0.50646883,0.9546192,0.79311997,0.73653466,1.0198846,0.7272426,0.77317554,0.72535086,0.7652884,0.7171359,1.0210904,0.71566343,0.8139212,0.8053222,0.8555896,0.7692717,0.66790426,0.78778356
61,0.5813676,0.8952465,0.91056895,0.81367224,1.2025236,0.8110364,0.62347794,0.9338517,0.9887269,0.7707861,0.96438736,0.74791455,0.63778853,0.7837595,0.5085207,0.924189,1.7982445,0.7630701,0.91834235,0.6936552,0.767518,0.70752895,0.7394683,0.76397127,0.96292335,0.72611904,0.77139467,0.7798371,0.84981185,0.7368405,0.6437661,0.77387404
62,0.5870353,0.8468285,0.8676536,0.8417312,1.0013055,0.7359394,0.6158445,0.9422845,0.92266196,0.8449337,0.8846983,0.69387573,0.5930423,0.7776956,0.4790601,0.9739644,1.4901602,0.57945687,0.92762536,0.7419676,0.7444306,0.7045105,0.72274375,0.82006925,0.9083084,0.6918246,0.7805084,0.8037361,0.82577384,0.7119632,1.6812696,0.68338615
63,1.5487745,0.8235442,0.77232486,0.8286934,0.83141434,0.78081936,1.4520483,0.79618955,0.8766852,0.7734659,0.85329527,0.7224792,0.58279634,0.7804243,0.4772319,0.98450714,1.3637074,0.61493874,0.8691746,0.7160892,0.69331443,0.72461724,0.70054823,0.73493916,0.8636323,0.66096073,0.761344,0.8286858,0.79451615,0.7528607,1.3188682,0.6371521
64,1.2787054,0.78133994,0.74679583,0.85510427,0.7622261,0.73873776,1.0700288,0.82281953,0.81882447,0.879092,0.7736197,0.7281032,0.5441454,0.86432976,0.49155694,0.9450314,1.1911347,0.57941467,0.8352864,0.79254216,1.8312573,0.6188819,1.9405433,0.60133475,0.8015423,0.72646356,0.71449614,0.8418306,0.76976997,0.7350705,1.1764088,0.61370224
65,1.123243,0.8117648,0.7282816,0.8705789,0.6550605,0.7856972,0.8503057,0.8401532,0.78482735,0.7501541,0.8045422,0.7372578,0.547116,0.8226189,1.7747988,0.7347427,1.1448904,0.6216316,1.8726453,0.6318814,1.5048509,0.6095715,1.4826056,0.5890701,0.8319568,0.7188321,0.7014322,0.81468,0.76914734,0.85934216,1.1214074,0.61312747
66,1.0068473,0.81294143,0.6723944,0.8402633,0.6091407,0.77098686,0.8980031,0.8513496,0.757935,0.7963306,0.71028674,0.7194285,1.7100033,0.6683002,1.3952086,0.77945846,1.0661129,0.6110872,1.5054206,0.61339164,1.2718903,0.61461735,1.3751084,0.63767993,0.77345073,0.77225673,1.6334445,0.6371252,0.74519736,0.8087268,0.9877539,0.601609
67,0.84966314,0.76459664,1.4257308,0.7695723,0.59807384,0.7693441,0.79086727,0.85131526,0.727778,0.80713236,0.73717123,0.7444273,1.3477266,0.6593899,1.1550993,0.7530698,1.0501366,0.5911244,1.3889947,0.6556628,1.1662157,0.65935284,1.1885407,0.6095738,1.4148953,0.6135538,1.3756624,0.72533584,1.6664176,0.6302284,0.98492813,0.66675293
68,0.8518091,0.8116398,1.1508958,0.7620771,0.5558289,0.81569993,0.69496,0.8588359,0.69873786,0.8103535,0.6938488,0.76051205,1.1702797,0.7292279,1.0917169,0.7416392,0.9602841,0.59059507,1.2824514,0.5921661,1.0860901,0.6142608,1.1656836,0.5881961,1.1336364,0.616107,1.2246631,0.6868435,1.2871103,0.64373976,0.86539626,0.64635843
69,0.7307181,0.8204273,1.030248,0.8283596,0.5771654,0.81862795,0.6722625,0.84961414,0.6690795,0.7757547,1.6624992,0.6630819,1.0950181,0.7203468,0.9521921,0.76615596,0.8921033,0.592661,1.1600512,0.6035519,0.9859658,0.5733597,1.1042871,0.62839085,0.9880935,0.66406536,1.0673065,0.6407601,1.141111,0.7128494,0.85188687,0.70333153
