,temporal None PL train,temporal None PL val,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
104,0.09362562000751495,0.22400730848312378,0.15323682129383087,0.19583968818187714,0.05111344903707504,0.2568516433238983,0.037493061274290085,0.34936845302581787,0.04076891764998436,0.29453009366989136,0.1191803440451622,0.1602928191423416,0.08902009576559067,0.19363467395305634,0.10702066868543625,0.2027052789926529,0.24294957518577576,0.16767530143260956,0.18297699093818665,0.1132865697145462,0.20760604739189148,0.11966923624277115,0.16374751925468445,0.13113518059253693,0.1804111897945404,0.12883713841438293,0.2491838037967682,0.11129260808229446,0.13782018423080444,0.1704733967781067,0.18458618223667145,0.3022024631500244,0.17056061327457428,0.21625976264476776
105,0.09104520827531815,0.2166978269815445,0.13819406926631927,0.1930229216814041,0.04666556417942047,0.2589607834815979,0.039846085011959076,0.3323507010936737,0.037366967648267746,0.2999204695224762,0.11126820743083954,0.1590888649225235,0.09077350795269012,0.1900801658630371,0.09045834094285965,0.20560921728610992,0.16971410810947418,0.16928155720233917,0.17650224268436432,0.11092253774404526,0.19359208643436432,0.1178775355219841,0.31118327379226685,0.1242457777261734,0.17221474647521973,0.129720076918602,0.22595062851905823,0.1105518639087677,0.13404172658920288,0.17542318999767303,0.17234587669372559,0.293180912733078,0.16416805982589722,0.2091505527496338
106,0.08074148744344711,0.22197115421295166,0.12958811223506927,0.1944088488817215,0.043779406696558,0.2597431242465973,0.03584176301956177,0.3554137945175171,0.038721729069948196,0.2980296015739441,0.10198314487934113,0.16683505475521088,0.07622294127941132,0.19680729508399963,0.08749522268772125,0.20852011442184448,0.14940038323402405,0.16944192349910736,0.38406044244766235,0.10164347290992737,0.18809272348880768,0.12123475968837738,0.24678416550159454,0.12423593550920486,0.16615864634513855,0.12561555206775665,0.21584750711917877,0.10976536571979523,0.27799826860427856,0.1553179919719696,0.1597491353750229,0.2914983332157135,0.16015322506427765,0.21676166355609894
107,0.07508638501167297,0.2309066355228424,0.1139422208070755,0.2003808617591858,0.04195687919855118,0.26112326979637146,0.037778615951538086,0.355490118265152,0.039070550352334976,0.30250078439712524,0.34901663661003113,0.14077194035053253,0.2942534387111664,0.1694844365119934,0.07689185440540314,0.2076175957918167,0.12623439729213715,0.16918540000915527,0.31493017077445984,0.1017051562666893,0.17474596202373505,0.11990290880203247,0.22816024720668793,0.11958853900432587,0.34414759278297424,0.11144423484802246,0.20249655842781067,0.1124936044216156,0.21570831537246704,0.160965234041214,0.15180620551109314,0.2862131893634796,0.15326903760433197,0.20629093050956726
108,0.07034222036600113,0.23200862109661102,0.10574685782194138,0.19486168026924133,0.04057599976658821,0.2580937445163727,0.03670768812298775,0.3461673855781555,0.03750120475888252,0.29651501774787903,0.2529836893081665,0.14100617170333862,0.2191440314054489,0.17015403509140015,0.07619535177946091,0.2089763730764389,0.11806032806634903,0.1686655431985855,0.2690814137458801,0.10057811439037323,0.17084912955760956,0.11779072880744934,0.2086966633796692,0.11738570779561996,0.2693673372268677,0.11111251264810562,0.19106216728687286,0.11589094251394272,0.19223672151565552,0.16194002330303192,0.15135526657104492,0.2922717332839966,0.1479404717683792,0.21443699300289154
109,0.0676998719573021,0.22383591532707214,0.10009349137544632,0.20386536419391632,0.038491442799568176,0.25846004486083984,0.03696542605757713,0.3501385450363159,0.035302478820085526,0.29390206933021545,0.21843279898166656,0.13653582334518433,0.18707507848739624,0.16875380277633667,0.06702188402414322,0.20714697241783142,0.10044755786657333,0.1853962242603302,0.2542150318622589,0.10171754658222198,0.3761345148086548,0.1089632585644722,0.19964715838432312,0.118778295814991,0.23784737288951874,0.10886796563863754,0.1780688613653183,0.11498651653528214,0.1767154037952423,0.15513086318969727,0.14541669189929962,0.29416054487228394,0.14452113211154938,0.21986976265907288
110,0.06499912589788437,0.22198817133903503,0.09486221522092819,0.20629999041557312,0.03826145827770233,0.26626840233802795,0.03698369488120079,0.3515635132789612,0.033199742436409,0.2915210425853729,0.19406796991825104,0.1401711404323578,0.16019822657108307,0.17295926809310913,0.06431709975004196,0.20917178690433502,0.0980934426188469,0.1748182624578476,0.23478546738624573,0.10143934190273285,0.2817872166633606,0.10901500284671783,0.19087570905685425,0.12074946612119675,0.2238895297050476,0.113552987575531,0.17273540794849396,0.10889176279306412,0.17324034869670868,0.16258180141448975,0.1418755054473877,0.29816922545433044,0.1393587291240692,0.22498324513435364
111,0.05987643077969551,0.22641921043395996,0.0912802442908287,0.20469310879707336,0.036740269511938095,0.2705470025539398,0.03365102782845497,0.350129097700119,0.03203215450048447,0.3005802631378174,0.16951823234558105,0.14101028442382812,0.1461864858865738,0.1757432371377945,0.06316705793142319,0.21133671700954437,0.09186441451311111,0.1737716645002365,0.22179879248142242,0.10286727547645569,0.25976744294166565,0.11088057607412338,0.17890533804893494,0.12493088096380234,0.20080141723155975,0.114927276968956,0.16121090948581696,0.10895932465791702,0.156352236866951,0.15996003150939941,0.13493700325489044,0.31404054164886475,0.1403491348028183,0.217323899269104
112,0.2089533805847168,0.21051542460918427,0.08161379396915436,0.2071392685174942,0.03487812355160713,0.2639787793159485,0.036895595490932465,0.35699260234832764,0.044190000742673874,0.29557642340660095,0.15861199796199799,0.143052339553833,0.12837685644626617,0.18142668902873993,0.0577644482254982,0.219925194978714,0.08472190797328949,0.17690718173980713,0.20309562981128693,0.10472489148378372,0.23253384232521057,0.1102651059627533,0.17104223370552063,0.12613697350025177,0.1956433206796646,0.11431063711643219,0.1561184674501419,0.11532522737979889,0.14320917427539825,0.16169960796833038,0.1266959011554718,0.31238818168640137,0.13524211943149567,0.20942622423171997
113,0.15146373212337494,0.20461401343345642,0.08059504628181458,0.20686203241348267,0.03380005061626434,0.2593659460544586,0.033640097826719284,0.35535597801208496,0.03748166188597679,0.3096771240234375,0.14787830412387848,0.145211860537529,0.12160850316286087,0.18022988736629486,0.05904358625411987,0.21360984444618225,0.08167893439531326,0.18059949576854706,0.19684672355651855,0.1045781597495079,0.21545110642910004,0.11006580293178558,0.16620026528835297,0.12416794896125793,0.1865357607603073,0.11320903897285461,0.15612420439720154,0.11057368665933609,0.14214496314525604,0.16006332635879517,0.23655445873737335,0.3178246319293976,0.26763105392456055,0.19559088349342346
