,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
22,0.19765499,0.32347992,0.23687463,0.2617719,0.2590571,0.27597147,0.22319157,0.2905246,0.19169699,0.256019,0.18216015,0.27427796,0.13191241,0.26307684,0.23031794,0.25216234,0.28223896,0.21608669,0.28061125,0.22422764,0.38013947,0.20211425,0.3362486,0.20932744,0.3574309,0.23320644,0.398273,0.22985962,0.77082,0.21975435,0.5995289,0.19625062
23,0.19107793,0.2738159,0.2215434,0.2609005,0.2510022,0.28046942,0.21267347,0.28784534,0.17776293,0.25847775,0.17395824,0.28350115,0.12566943,0.27734298,0.21473484,0.26875612,0.2846889,0.22409973,0.26064238,0.2220201,0.3651513,0.20682454,0.3136131,0.20752172,0.3456458,0.22056653,0.38063246,0.25274354,0.65501964,0.24216145,0.55868024,0.20864142
24,0.18171684,0.2838536,0.20635828,0.25796196,0.23178376,0.27510607,0.2057856,0.279823,0.17767061,0.25878963,0.16859506,0.2792278,0.12200866,0.28115818,0.20597903,0.2527355,0.2642789,0.21833465,0.26931965,0.23299383,0.34806642,0.19974901,0.3016831,0.2064909,0.6128479,0.18349612,0.36291468,0.26385388,0.6151853,0.21371995,0.5162995,0.2063604
25,0.17372626,0.28060648,0.1919512,0.25856566,0.22695461,0.27447167,0.18999298,0.28341728,0.15662573,0.26576194,0.15591308,0.27442068,0.112726875,0.26899657,0.19966036,0.25527957,0.24916612,0.22271715,0.24167983,0.22679125,0.3407483,0.20001812,0.28391144,0.21065187,0.50784373,0.18112415,0.35366347,0.23334563,0.5691133,0.23817068,0.5014001,0.23163457
26,0.15903968,0.2815991,0.18452646,0.261626,0.20502968,0.27430153,0.19323197,0.3041329,0.3783115,0.22032471,0.33881864,0.2553929,0.111483,0.26970693,0.18897037,0.25376576,0.2440757,0.21968006,0.22951296,0.23760799,0.31018183,0.19884934,0.28327447,0.2055246,0.45581257,0.19239372,0.34048682,0.24204266,0.5434441,0.25825652,0.46880752,0.19557305
27,0.1554043,0.28056094,0.1732478,0.2785837,0.20618036,0.29324982,0.18031392,0.27902088,0.29864272,0.22599879,0.27636766,0.25706875,0.10274744,0.27665636,0.1866198,0.26169696,0.59218115,0.17994225,0.22839308,0.24086332,0.64668286,0.15931141,0.6236014,0.17947233,0.4137246,0.1725725,0.32914874,0.24912569,0.51688606,0.23671907,0.45664203,0.2039431
28,0.14574125,0.28486985,0.1640235,0.26102656,0.20049556,0.27469686,0.26336786,0.2905059,0.26009732,0.22441085,0.2524919,0.25828746,0.10138345,0.2756588,0.17015384,0.252835,0.4649976,0.17937766,0.2112906,0.23110323,0.5240453,0.16159934,0.52478194,0.16763611,0.39100355,0.17611271,0.3145451,0.25082058,0.48184547,0.25103378,0.43467906,0.21681608
29,0.13926668,0.2719794,0.15327047,0.2621807,0.18292569,0.29981497,0.22512655,0.2800445,0.24070993,0.21524993,0.21975222,0.24853727,0.09932104,0.26734665,0.36131632,0.22094072,0.42614263,0.1730788,0.58496803,0.19012362,0.48525426,0.16068457,0.47618377,0.1665551,0.35781002,0.18731762,0.65772825,0.20598541,0.45654714,0.26251408,0.41336712,0.21640202
30,0.28429285,0.23814905,0.14895844,0.26966435,0.1811495,0.29441196,0.21313502,0.27785623,0.21576212,0.2195086,0.21086921,0.2524774,0.29280764,0.2810082,0.29937115,0.21650955,0.38290817,0.17934789,0.48173115,0.18343481,0.43443814,0.15946501,0.43330607,0.16392457,0.33194202,0.18002059,0.55774254,0.18976402,0.43247986,0.2435212,0.395824,0.2250488
31,0.24580558,0.24020562,0.13388442,0.26683518,0.17836522,0.27304566,0.19813202,0.27217782,0.19894071,0.21875454,0.19091302,0.2533166,0.2209983,0.24546845,0.26878121,0.22045928,0.35661066,0.17802607,0.4275561,0.18544391,0.40165892,0.16646558,0.40036947,0.16652717,0.3166791,0.19065572,0.49352524,0.18681404,0.41144103,0.24734595,0.37114418,0.2142459
32,0.21767457,0.23670049,0.13161768,0.28055578,0.15893227,0.28884673,0.18713008,0.27188393,0.18720771,0.2199586,0.17227103,0.25414723,0.19335681,0.23867315,0.2467081,0.21691744,0.33330694,0.17541353,0.38331094,0.17806159,0.3772603,0.16491708,0.3648448,0.1717026,0.29567042,0.17878897,0.4515005,0.18972647,0.41363525,0.25511533,0.36034685,0.2185586
33,0.19327568,0.2564919,0.12651291,0.26560244,0.16453232,0.28209794,0.17791767,0.2867905,0.1704158,0.2252252,0.162708,0.25620508,0.17522599,0.2454835,0.22024444,0.22093463,0.31077197,0.17709567,0.35267526,0.18283728,0.35213658,0.16413158,0.35254198,0.17074092,0.28630868,0.17888473,0.41541004,0.19034582,0.385667,0.2750184,0.3553775,0.21432918
34,0.17615049,0.24214475,0.12032466,0.29825053,0.14374821,0.2756088,0.1598883,0.28575492,0.16314262,0.22943036,0.1459526,0.25416616,0.15233691,0.27193192,0.20713022,0.22177061,0.2873895,0.20084897,0.3407437,0.18576255,0.33294418,0.16615361,0.3209791,0.17249426,0.2711229,0.1805085,0.3984794,0.21445075,0.36854285,0.2658503,0.33487928,0.21075323
35,0.1605543,0.24300157,0.25845066,0.24250585,0.13890116,0.29812783,0.1579772,0.28753802,0.15590511,0.24056043,0.14046113,0.26299518,0.14370126,0.26102275,0.1920558,0.24106987,0.2772757,0.18134561,0.32028374,0.19263594,0.31236616,0.1642922,0.31450075,0.17315504,0.26019314,0.17965,0.37707174,0.1969913,0.6202454,0.22945012,0.3130506,0.2247288
