,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
3,0.2873156666755676,0.2913626432418823,1.046415090560913,0.26800450682640076,1.1176382303237915,0.26747623085975647,0.9978898167610168,0.29847386479377747,1.0154337882995605,0.29522767663002014,0.42768511176109314,0.3144737482070923,0.3982909023761749,0.31630241870880127,0.4595928192138672,0.32180729508399963,0.4388637840747833,0.3061574399471283,0.9117940068244934,0.2853160500526428,0.9013888835906982,0.29243195056915283,0.8679578900337219,0.3075319826602936,0.9078881144523621,0.3060376048088074,1.7140363454818726,0.24459856748580933,1.5808221101760864,0.2638305723667145,1.724743127822876,0.29332786798477173,1.7367892265319824,0.2590080499649048
4,0.27208179235458374,0.29114648699760437,0.9682100415229797,0.27291423082351685,0.9887828826904297,0.2603442668914795,0.9013599753379822,0.3018856942653656,0.8814177513122559,0.29380592703819275,0.37626177072525024,0.2996152639389038,0.38018733263015747,0.3112981617450714,0.41385436058044434,0.30426234006881714,0.39114460349082947,0.30083876848220825,0.8349683284759521,0.271516889333725,0.8507359623908997,0.2717779278755188,0.8125912547111511,0.30254387855529785,0.7801445126533508,0.30640819668769836,1.605923056602478,0.22394143044948578,1.4933689832687378,0.27792486548423767,1.575322151184082,0.30245983600616455,1.604744553565979,0.24879130721092224
5,0.2540532648563385,0.30004173517227173,0.883572518825531,0.26083099842071533,0.9204387068748474,0.258023202419281,0.840648353099823,0.29200565814971924,0.8779563903808594,0.2941349148750305,0.3578207492828369,0.29582691192626953,0.3507182002067566,0.3006477355957031,0.37342047691345215,0.3064334988594055,0.3975439667701721,0.30433449149131775,0.7393209934234619,0.2695024311542511,0.7508362531661987,0.26497697830200195,0.7216212749481201,0.30495643615722656,0.7691290974617004,0.3005240559577942,1.4935325384140015,0.2534654438495636,1.3791435956954956,0.2509033977985382,1.4820809364318848,0.27884864807128906,1.5243762731552124,0.26172423362731934
6,0.24356482923030853,0.30082204937934875,0.776794970035553,0.27071520686149597,0.8058655261993408,0.2543296217918396,0.7760452032089233,0.2892153561115265,0.7631758451461792,0.2950724959373474,0.32450592517852783,0.29961255192756653,0.3307271897792816,0.29960256814956665,0.361290842294693,0.28771403431892395,0.32305917143821716,0.29089224338531494,0.6528087258338928,0.2674119472503662,0.688393235206604,0.26932191848754883,0.6352176070213318,0.30067387223243713,0.6819736361503601,0.2878734767436981,1.4384623765945435,0.23295041918754578,1.3583375215530396,0.2519115209579468,1.4305508136749268,0.2691859304904938,1.4633407592773438,0.2924982011318207
7,0.23001527786254883,0.29184380173683167,0.7399544715881348,0.25750377774238586,0.7167714834213257,0.2510371506214142,0.7385761737823486,0.29153481125831604,0.7073653340339661,0.299617737531662,0.31512993574142456,0.29513925313949585,0.31721872091293335,0.306216299533844,0.31014761328697205,0.2874283492565155,0.31829941272735596,0.2916463017463684,0.6295416355133057,0.27488717436790466,0.6674447655677795,0.2642469108104706,0.6249608397483826,0.2868331968784332,0.6600847840309143,0.29483821988105774,1.3862700462341309,0.23677636682987213,1.2946873903274536,0.26939740777015686,1.381090760231018,0.27619755268096924,1.4029319286346436,0.28188246488571167
8,0.2247355729341507,0.31420737504959106,0.6796388030052185,0.252834677696228,0.7026238441467285,0.25160452723503113,0.6490853428840637,0.30673524737358093,0.657470166683197,0.29229214787483215,0.27898314595222473,0.2835748791694641,0.33599674701690674,0.3019370436668396,0.34351837635040283,0.2902757525444031,0.32257378101348877,0.28575795888900757,0.5814717411994934,0.27387329936027527,0.5873635411262512,0.2771023213863373,0.5565584897994995,0.28342926502227783,0.618087649345398,0.2986835837364197,1.332809329032898,0.22740353643894196,1.2667250633239746,0.2509106993675232,1.3465678691864014,0.2712598443031311,1.3858351707458496,0.24229243397712708
9,0.22272315621376038,0.29499146342277527,0.6399492621421814,0.2680099904537201,0.6376469731330872,0.2523512840270996,0.6203793287277222,0.29667899012565613,0.5869316458702087,0.2914115786552429,0.28932374715805054,0.29617562890052795,0.2693939805030823,0.28958144783973694,0.3025822043418884,0.2976345419883728,0.27422016859054565,0.2897396385669708,0.531283438205719,0.27204322814941406,0.5664048194885254,0.26955869793891907,0.4721345901489258,0.2981589138507843,0.5446268916130066,0.2946332097053528,1.3057518005371094,0.23809073865413666,1.2317655086517334,0.2625633478164673,1.3074027299880981,0.23491469025611877,1.330613613128662,0.24901388585567474
10,0.20835654437541962,0.3063773512840271,0.5641555190086365,0.253981351852417,0.585487425327301,0.26825451850891113,0.5324986577033997,0.30120497941970825,0.5070974826812744,0.2933516204357147,0.26767972111701965,0.3007289469242096,0.26115304231643677,0.29907944798469543,0.26214540004730225,0.3043069839477539,0.2586206793785095,0.30853381752967834,0.49951598048210144,0.2754875719547272,0.5269649624824524,0.27722328901290894,0.4681709408760071,0.2825023829936981,0.5042898058891296,0.30152034759521484,1.2686246633529663,0.25139120221138,1.1773875951766968,0.2512398362159729,1.2678484916687012,0.2695692181587219,1.3050727844238281,0.2565082907676697
11,0.20141258835792542,0.3024232089519501,0.525397539138794,0.2597433924674988,0.5091167688369751,0.26781851053237915,0.4868670701980591,0.30574357509613037,0.4815220236778259,0.2911474108695984,0.24470502138137817,0.29331132769584656,0.24475052952766418,0.30450791120529175,0.26822400093078613,0.30213823914527893,0.2575053870677948,0.28930139541625977,0.4422251582145691,0.27215972542762756,0.4568236470222473,0.2727202773094177,0.4488648474216461,0.2848072052001953,0.47669151425361633,0.2962706983089447,1.2171791791915894,0.23711074888706207,1.1536051034927368,0.2712807357311249,1.2435134649276733,0.25549983978271484,1.2841222286224365,0.26483353972435
12,0.18879270553588867,0.2908332347869873,0.4668973386287689,0.2661440968513489,0.4905598759651184,0.2643360197544098,0.41500890254974365,0.29793134331703186,0.4523622691631317,0.2952142655849457,0.2296781986951828,0.2943178117275238,0.24641206860542297,0.2989200949668884,0.24995093047618866,0.29366376996040344,0.2408369928598404,0.32190272212028503,0.4478919804096222,0.2760714888572693,0.4431236982345581,0.27020010352134705,0.38846126198768616,0.2918958365917206,0.403197705745697,0.3045431077480316,1.1904925107955933,0.23526319861412048,1.1230406761169434,0.2695651352405548,1.2170443534851074,0.25716155767440796,1.2371896505355835,0.25937220454216003
