,spatial None PL train,spatial None PL val,spatial X_s1 avg d_c train,spatial X_s1 avg d_c val
t_iter_avg,14.4,14.4,26.0,26.0
budget_usage,0.8036634230108758,0.8036634230108758,0.12578706353749283,0.12578706353749283
sensor_usage,1.0,1.0,0.06306306306306306,0.06306306306306306
streamtime_usage,1.0,1.0,1.0,1.0
test_loss,0.13017918,0.13017918,0.9598769545555115,0.9598769545555115
RF_loss,0.23582207,0.23582207,0.23582206666469574,0.23582206666469574
cand_subsample_rate,,,1.0,1.0
66,0.09029051661491394,0.12481188029050827,0.02872852422297001,0.51393723487854
67,0.08194722980260849,0.13606512546539307,0.02678282931447029,0.464754581451416
68,0.07813730090856552,0.12446953356266022,0.027792243286967278,0.4489499628543854
69,0.06458088755607605,0.1391381174325943,0.04280583932995796,0.4285227954387665
70,0.06561620533466339,0.1278459131717682,0.03357021510601044,0.2853201925754547
71,0.04948784038424492,0.13910235464572906,0.0286128968000412,0.38619717955589294
72,0.04777417704463005,0.13376113772392273,0.02887500450015068,0.2947057783603668
73,0.04832415282726288,0.13361705839633942,0.02734934724867344,0.3293994665145874
74,0.04125235229730606,0.14159250259399414,0.027928784489631653,0.325775682926178
75,0.080649234354496,0.13757656514644623,0.023517778143286705,0.3648473918437958
76,0.11519225686788559,0.12508247792720795,0.02380460314452648,0.3014276921749115
77,0.08637867122888565,0.12403266876935959,0.024227101355791092,0.33741483092308044
78,0.06841062009334564,0.12436351925134659,0.023759866133332253,0.32799628376960754
79,0.0626797080039978,0.12460697442293167,0.023902682587504387,0.3109975755214691
80,0.055913858115673065,0.13117291033267975,0.020562445744872093,0.28443673253059387
81,0.05105229467153549,0.1393137276172638,0.023174595087766647,0.34406670928001404
82,0.05021673068404198,0.14007867872714996,0.02061028592288494,0.3253667652606964
83,0.042171623557806015,0.13161134719848633,0.022566232830286026,0.30952930450439453
84,0.047036103904247284,0.1409311443567276,0.020830711349844933,0.297136127948761
85,0.039390455931425095,0.13580164313316345,0.020656315609812737,0.34149259328842163
86,0.04043211042881012,0.14182646572589874,0.0187067911028862,0.3412001132965088
87,0.038512568920850754,0.1358376443386078,0.02135142683982849,0.32753986120224
88,0.12371503561735153,0.11785290390253067,0.02125409245491028,0.3407856225967407
89,0.10028030723333359,0.12430297583341599,0.018559783697128296,0.3457474112510681
90,0.08001624047756195,0.12278860807418823,0.01997429132461548,0.35479894280433655
91,0.07044807821512222,0.1370975375175476,0.06345026195049286,0.39456871151924133
92,0.06176645681262016,0.12564432621002197,0.048461537808179855,0.4319320321083069
93,0.054085638374090195,0.12593482434749603,0.042503472417593,0.3763004541397095
94,0.049587275832891464,0.12528935074806213,0.038304027169942856,0.4876064956188202
95,0.04459201917052269,0.12700004875659943,0.03520157188177109,0.42375341057777405
