,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
100,0.21969062089920044,0.402411550283432,0.17490649223327637,0.4099084138870239,0.19310671091079712,0.42501962184906006,0.19732540845870972,0.4370599091053009,0.21564143896102905,0.4714290499687195,0.27565109729766846,0.3907339870929718,0.3602010905742645,0.33970820903778076,0.6226945519447327,0.37206724286079407,0.2817198634147644,0.37743285298347473,0.257517009973526,0.34196048974990845,0.23470626771450043,0.36036860942840576,0.3145018517971039,0.3121311068534851,0.20185641944408417,0.37273329496383667,0.12114591896533966,0.48376888036727905,0.0893525704741478,0.5225026607513428,0.08330129086971283,0.5209905505180359,0.0885331928730011,0.5474997758865356
101,0.2054852396249771,0.42635005712509155,0.32392701506614685,0.44440770149230957,0.17536213994026184,0.4133948087692261,0.2307874858379364,0.4536217451095581,0.22703994810581207,0.5090073347091675,0.25812390446662903,0.367575466632843,0.35611996054649353,0.3512484133243561,0.43580377101898193,0.3506357669830322,0.29139840602874756,0.3664308190345764,0.2511500418186188,0.40308552980422974,0.22546520829200745,0.34209001064300537,0.3054565489292145,0.3030606806278229,0.19204194843769073,0.35717934370040894,0.11501604318618774,0.48449382185935974,0.08586392551660538,0.5360548496246338,0.08033967763185501,0.5341284275054932,0.084028460085392,0.5416885614395142
102,0.18349358439445496,0.3889351487159729,0.2672930657863617,0.3562040328979492,0.4499405324459076,0.39854493737220764,0.5909998416900635,0.4219791889190674,0.18864335119724274,0.5522039532661438,0.2554459869861603,0.39293554425239563,0.31976401805877686,0.33844414353370667,0.35965174436569214,0.3569762408733368,0.2769544720649719,0.36824873089790344,0.24041663110256195,0.3533572256565094,0.21591706573963165,0.3913196325302124,0.30068373680114746,0.3089134097099304,0.18388216197490692,0.3739856779575348,0.11042029410600662,0.49041736125946045,0.14382416009902954,0.5357654690742493,0.07801496237516403,0.5311940312385559,0.08141320198774338,0.5412479043006897
103,0.2076319456100464,0.41263246536254883,0.24898241460323334,0.38214078545570374,0.33887335658073425,0.3777712285518646,0.499687522649765,0.41635820269584656,0.72447270154953,0.5165756940841675,0.2548449635505676,0.37841174006462097,0.31128519773483276,0.3641064167022705,0.33599966764450073,0.3640586733818054,0.2721008062362671,0.3603745698928833,0.23239204287528992,0.4158499836921692,0.21450765430927277,0.3862878084182739,0.28615835309028625,0.3263953924179077,0.17459669709205627,0.37387990951538086,0.10538104921579361,0.5016151666641235,0.1257239580154419,0.526675820350647,0.0759693905711174,0.5337138175964355,0.07771793007850647,0.5487178564071655
104,0.16491740942001343,0.42544493079185486,0.21349549293518066,0.3703366219997406,0.3103236258029938,0.39379408955574036,0.3641204535961151,0.45959097146987915,0.68723064661026,0.42200443148612976,0.2483648955821991,0.37483254075050354,0.3029020428657532,0.33985257148742676,0.3056508004665375,0.37574303150177,0.2531447410583496,0.3734099864959717,0.22687846422195435,0.4135019779205322,0.2021094411611557,0.3690885007381439,0.27679166197776794,0.313856840133667,0.16727715730667114,0.3790407180786133,0.10176458209753036,0.4945151209831238,0.11541874706745148,0.5199564099311829,0.07408551871776581,0.5478399991989136,0.07511521875858307,0.5402509570121765
105,0.29888051748275757,0.4509863257408142,0.20321844518184662,0.37091735005378723,0.2792690396308899,0.38420358300209045,0.33205002546310425,0.48598602414131165,0.5978907942771912,0.41091686487197876,0.2183157503604889,0.8190135359764099,0.321111798286438,0.36298224329948425,0.2924310863018036,0.3809470534324646,0.22919026017189026,0.36820465326309204,0.21723784506320953,0.4449724853038788,0.20250824093818665,0.355815589427948,0.27440258860588074,0.3203291594982147,0.16079068183898926,0.3652417063713074,0.09792368113994598,0.49229198694229126,0.10919786989688873,0.5218141674995422,0.07171455025672913,0.5437484383583069,0.07316190004348755,0.5404359698295593
106,0.1719764620065689,0.42287173867225647,0.19423073530197144,0.3680449426174164,0.22443147003650665,0.3903168737888336,0.2809629738330841,0.466678261756897,0.4644331634044647,0.42951327562332153,0.23997357487678528,0.3911602795124054,0.5234575271606445,0.36279359459877014,0.2708567976951599,0.37539103627204895,0.22793439030647278,0.38524043560028076,0.21399705111980438,0.38312608003616333,0.24890993535518646,0.41122737526893616,0.2573002278804779,0.31482768058776855,0.15637311339378357,0.38156768679618835,0.09414052218198776,0.49654656648635864,0.10393951833248138,0.5226418375968933,0.06950999796390533,0.5436391830444336,0.07155793905258179,0.5397414565086365
107,0.1687205731868744,0.4043240547180176,0.17642776668071747,0.3494213819503784,0.24909278750419617,0.3825147747993469,0.2587566673755646,0.4423065185546875,0.3739306628704071,0.43125176429748535,0.2264816015958786,0.38016003370285034,0.43777230381965637,0.33412033319473267,0.2631801664829254,0.37702512741088867,0.21675872802734375,0.38156113028526306,0.20535272359848022,0.4150012731552124,0.22067143023014069,0.41711026430130005,0.2608737051486969,0.31627508997917175,0.15263424813747406,0.39901554584503174,0.09128663688898087,0.5040506720542908,0.09819252043962479,0.5227630734443665,0.14672324061393738,0.5284355282783508,0.06928510218858719,0.5440537333488464
108,0.16321516036987305,0.4049598276615143,0.17436128854751587,0.3689930737018585,0.22689777612686157,0.3727014660835266,0.26458826661109924,0.44370973110198975,0.35646888613700867,0.4190658926963806,0.22350379824638367,0.38260531425476074,0.3718244731426239,0.3347763121128082,0.25102221965789795,0.35932657122612,0.21665695309638977,0.3912498652935028,0.2747917175292969,0.4147525131702423,0.20568181574344635,0.4353120028972626,0.22689060866832733,0.33380362391471863,0.21146710216999054,0.4098725914955139,0.08749296516180038,0.5038087964057922,0.09350468963384628,0.5289308428764343,0.09554421156644821,0.511763334274292,0.06737212091684341,0.5474810600280762
109,0.49301016330718994,0.401701956987381,0.17344385385513306,0.3667724132537842,0.21169018745422363,0.3878086805343628,0.31585782766342163,0.4449370801448822,0.3046015799045563,0.41976964473724365,0.5934890508651733,0.3519352972507477,0.32391804456710815,0.3428856134414673,0.2564944922924042,0.3775402903556824,0.2423933446407318,0.37775614857673645,0.2434263378381729,0.4141019880771637,0.19612553715705872,0.4460080564022064,0.21269193291664124,0.33154383301734924,0.1868210732936859,0.39608871936798096,0.08582638204097748,0.5060720443725586,0.09085440635681152,0.5286280512809753,0.08794121444225311,0.5128293037414551,0.09931746870279312,0.5555964112281799
